formula,nelements,radius_mean,radius_mean_wtd,radius_std,radius_std_wtd,radius_range,radius_range_wtd,radius_entropy,radius_entropy_wtd,mass_mean,mass_mean_wtd,mass_std,mass_std_wtd,mass_range,mass_range_wtd,mass_entropy,mass_entropy_wtd,valence_mean,valence_mean_wtd,valence_std,valence_std_wtd,valence_range,valence_range_wtd,valence_entropy,valence_entropy_wtd,electronnegativity_mean,electronnegativity_mean_wtd,electronnegativity_std,electronnegativity_std_wtd,electronnegativity_range,electronnegativity_range_wtd,electronnegativity_entropy,electronnegativity_entropy_wtd,firstionization_mean,firstionization_mean_wtd,firstionization_std,firstionization_std_wtd,firstionization_range,firstionization_range_wtd,firstionization_entropy,firstionization_entropy_wtd,shell_range,d_mean,d_ratio,d_unfill,Tc
Mg0.9Zn0.05Al0.05B2,4,1.2975,1.079333333,0.28665092,0.354780997,0.77,0.531166667,1.360006394,0.866885944,31.8695,16.0382,20.29484755,9.016137809,54.569,6.8418,1.19634406,1.000742436,5,2.85,4.062019202,1.275735082,10,1.95,1.105889879,0.833941875,1.6525,1.807333333,0.259458571,0.333695803,0.73,1.333166667,1.374034575,0.671954218,7.83105,8.082193333,1.234969363,0.435904243,3.4084,5.432236667,1.373549147,0.747585236,2,0.166666667,0.058479532,0,38.5
Mg0.9Zn0.1B2,3,1.253333333,1.077666667,0.318991466,0.353361791,0.77,0.509,1.06467421,0.83376055,33.49866667,16.67816667,23.20684626,10.92986542,54.569,5.112166667,0.862820965,0.990217163,5.666666667,3,4.496912521,1.732050808,10,1.6,0.803742107,0.860851391,1.666666667,1.808,0.298254179,0.333340667,0.73,1.305,1.082551436,0.652168536,8.446133333,8.139,0.721264451,0.37713011,1.748,5.21886,1.094990635,0.744705645,2,0.333333333,0.111111111,0,38.4
Mg0.8Zn0.2B2,3,1.253333333,1.068666667,0.318991466,0.34323688,0.77,0.464666667,1.06467421,0.913918242,33.49866667,18.04733333,23.20684626,13.95387665,54.569,2.848666667,0.862820965,1.077493551,5.666666667,3.333333333,4.496912521,2.357022604,10,1.466666667,0.803742107,0.942216334,1.666666667,1.819333333,0.298254179,0.321796347,0.73,1.25,1.082551436,0.704017006,8.446133333,8.197266667,0.721264451,0.428082495,1.748,4.90572,1.094990635,0.807957981,2,0.666666667,0.2,0,38.4
B2Mg0.98,2,1.215,1.083221477,0.385,0.361744966,0.77,0.030872483,0.642067283,0.692740983,17.558,15.24862416,6.747,6.339463087,13.494,0.737214765,0.617382033,0.691978042,2.5,2.67114094,0.5,0.469798658,1,1.355704698,0.673011667,0.55815664,1.675,1.799932886,0.365,0.34295302,0.73,0.938322148,0.669213135,0.550324024,7.9721,8.083649664,0.3259,0.306214765,0.6518,3.054605369,0.692311358,0.619948338,1,0,0,0,38.4
Mg1B1.92C0.08,3,1.066666667,1.085066667,0.377918275,0.364239384,0.83,0.5128,1.039369126,0.773848135,15.709,15.341,6.098000328,6.341412461,13.494,7.781373333,1.027649788,0.777075323,3,2.693333333,0.816496581,0.515708789,2,1.813333333,1.060856947,0.714753847,1.966666667,1.810266667,0.508876759,0.363031581,1.24,1.2376,1.063902991,0.702000453,9.068166667,8.159728,1.572746477,0.597077188,3.6141,5.010445333,1.084005764,0.764510333,1,0,0,0,38.3
Mg0.95Zn0.05B2,3,1.253333333,1.082166667,0.318991466,0.358232195,0.77,0.531166667,1.06467421,0.777914738,33.49866667,15.99358333,23.20684626,8.968368715,54.569,6.606916667,0.862820965,0.894198499,5.666666667,2.833333333,4.496912521,1.280190958,10,1.8,0.803742107,0.767879831,1.666666667,1.802333333,0.298254179,0.338823291,0.73,1.3325,1.082551436,0.614408664,8.446133333,8.109866667,0.721264451,0.345205903,1.748,5.37543,1.094990635,0.698040055,2,0.166666667,0.058823529,0,38.3
Mg0.9Ti0.1B2,3,1.293333333,1.081666667,0.333299998,0.356857426,0.77,0.505,1.063020872,0.842321766,27.661,16.0944,15.31304098,8.513733989,37.056,5.695933333,0.942553072,0.947599607,3,2.733333333,0.816496581,0.512076383,2,1.866666667,1.060856947,0.708761408,1.63,1.804333333,0.304740327,0.335655412,0.73,1.308666667,1.081446275,0.646329046,7.590766667,8.053463333,0.601362976,0.373731175,1.4699,5.304396667,1.09545776,0.716465744,2,0.066666667,0.024390244,0.533333333,38.3
Mg0.95Li0.05B2,3,1.316666667,1.085333333,0.345671649,0.361236149,0.77,0.528,1.061363182,0.786794515,14.019,15.0196,7.44291932,6.340229684,17.364,7.5809,0.963420858,0.732426784,2,2.65,0.816496581,0.510718448,2,1.983333333,1.011404265,0.586342673,1.443333333,1.791166667,0.44289452,0.354344896,1.06,1.343666667,1.052552645,0.590698938,7.111966667,8.043158333,1.245177059,0.458656457,2.9063,5.442138333,1.082648451,0.669034768,1,0,0,0,38.25
B2Mg0.9,2,1.215,1.068965517,0.385,0.356228761,0.77,0.075862069,0.642067283,0.690626852,17.558,14.9987931,6.747,6.24279337,13.494,0.087068966,0.617382033,0.693130331,2.5,2.689655172,0.5,0.462634754,1,1.448275862,0.673011667,0.540204142,1.675,1.813448276,0.365,0.33772337,0.73,1.000344828,0.669213135,0.53215659,7.9721,8.095717241,0.3259,0.301545333,0.6518,3.3498,0.692311358,0.604915383,1,0,0,0,38.2
Mg0.95Li0.025Al0.025B2,4,1.345,1.084583333,0.303356226,0.360425433,0.77,0.541416667,1.358289411,0.80043056,17.25975,15.18660833,8.54723158,6.388994257,20.041,7.638741667,1.256008849,0.781745222,2.25,2.666666667,0.829156198,0.48876261,2,1.991666667,1.310783678,0.618993145,1.485,1.796416667,0.390288355,0.346876049,1.06,1.351833333,1.351559044,0.610247766,6.830425,8.048109167,1.183489147,0.432468113,2.9063,5.487069167,1.371204024,0.679521151,1,0,0,0,38.2
Mg0.996Cu0.004B2,3,1.236666667,1.08624,0.315841029,0.362565666,0.77,0.551626667,1.064850433,0.703563495,32.88733333,15.36132133,22.36794418,6.592099616,52.735,7.984532,0.870775848,0.721923076,5.333333333,2.678666667,4.027681991,0.560426821,9,1.985333333,0.83140252,0.592407662,1.75,1.797453333,0.316333158,0.343685973,0.73,1.357466667,1.081527973,0.563603667,7.8902,8.080840267,0.290211004,0.307124146,0.6518,5.521698133,1.097941167,0.631665161,2,0.013333333,0.004977601,0,38.11
Mg0.989Cu0.011B2,3,1.236666667,1.085493333,0.315841029,0.36183563,0.77,0.54864,1.064850433,0.717715999,32.88733333,15.45288367,22.36794418,6.976976378,52.735,7.779546333,0.870775848,0.759526345,5.333333333,2.699666667,4.027681991,0.688573324,9,1.959666667,0.83140252,0.629316143,1.75,1.79883,0.316333158,0.342911453,0.73,1.353033333,1.081527973,0.57548107,7.8902,8.0810274,0.290211004,0.306883598,0.6518,5.503669867,1.097941167,0.642639893,2,0.036666667,0.013581924,0,38.05
Mg0.93Na0.07B2,3,1.45,1.094133333,0.457456737,0.37650354,1.09,0.508533333,1.044930646,0.834271491,19.36866667,15.27831667,6.074951321,6.320708867,13.494,6.998116667,1.044322051,0.820654214,2,2.643333333,0.816496581,0.525473332,2,1.976666667,1.011404265,0.592887477,1.426666667,1.7878,0.460603469,0.361030691,1.11,1.3383,1.047256184,0.598270079,7.027766667,8.022234333,1.361740833,0.537112511,3.1589,5.412087667,1.07892548,0.679356556,1,0,0,0,38
Mg0.97Na0.03B2,3,1.45,1.089866667,0.457456737,0.368855865,1.09,0.534133333,1.044930646,0.768994067,19.36866667,15.29585,6.074951321,6.343857858,13.494,7.628716667,1.044322051,0.759817356,2,2.656666667,0.816496581,0.495434714,2,1.99,1.011404265,0.578698954,1.426666667,1.792866667,0.460603469,0.351497438,1.11,1.3507,1.047256184,0.577784345,7.027766667,8.055662333,1.361740833,0.42240375,3.1589,5.480609,1.07892548,0.652854275,1,0,0,0,38
Mg0.8Na0.2B2,3,1.45,1.108,0.457456737,0.400036665,1.09,0.425333333,1.044930646,0.96357356,19.36866667,15.22133333,6.074951321,6.244542061,13.494,5.674666667,1.044322051,0.948688204,2,2.6,0.816496581,0.611010093,2,1.933333333,1.011404265,0.620703857,1.426666667,1.771333333,0.460603469,0.389954983,1.11,1.298,1.047256184,0.640394507,7.027766667,7.913593333,1.361740833,0.794207987,3.1589,5.189393333,1.07892548,0.735628614,1,0,0,0,38
Mg0.85Na0.15B2,3,1.45,1.102666667,0.457456737,0.391211225,1.09,0.457333333,1.044930646,0.923975123,19.36866667,15.24325,6.074951321,6.274007666,13.494,6.057833333,1.044322051,0.908051315,2,2.616666667,0.816496581,0.579990421,2,1.95,1.011404265,0.612353424,1.426666667,1.777666667,0.460603469,0.379176154,1.11,1.3135,1.047256184,0.627258343,7.027766667,7.955378333,1.361740833,0.708459671,3.1589,5.275045,1.07892548,0.717733175,1,0,0,0,38
Mg0.92Li0.08B2,3,1.316666667,1.084533333,0.345671649,0.360182522,0.77,0.5128,1.061363182,0.825013057,14.019,14.84596,7.44291932,6.321298351,17.364,7.26844,0.963420858,0.751421276,2,2.64,0.816496581,0.532666249,2,1.973333333,1.011404265,0.595847371,1.443333333,1.787866667,0.44289452,0.36029726,1.06,1.333866667,1.052552645,0.605315926,7.111966667,8.020613333,1.245177059,0.527810593,2.9063,5.388221333,1.082648451,0.687831427,1,0,0,0,38
B2Mg0.8,2,1.215,1.05,0.385,0.347850543,0.77,0.135714286,0.642067283,0.684770765,17.558,14.66642857,6.747,6.095967821,13.494,0.777857143,0.617382033,0.691740081,2.5,2.714285714,0.5,0.451753951,1,1.571428571,0.673011667,0.514653165,1.675,1.831428571,0.365,0.329780385,0.73,1.082857143,0.669213135,0.506398693,7.9721,8.111771429,0.3259,0.294453226,0.6518,3.742514286,0.692311358,0.582577175,1,0,0,0,38
Mg0.99Al0.01B2,3,1.286666667,1.0861,0.330286071,0.36231173,0.77,0.548566667,1.063406377,0.718036435,20.69933333,15.31792333,7.077001923,6.37560701,16.171,7.93071,1.033669121,0.723678935,2.666666667,2.67,0.471404521,0.470212718,1,1.99,1.08219553,0.582826612,1.653333333,1.797666667,0.299592316,0.343144123,0.73,1.354633333,1.082274655,0.571145993,7.31,8.075198667,0.97342695,0.329209251,2.3122,5.512047333,1.089516008,0.637435352,1,0,0,0,37.95
Mg0.93Li0.07B2,3,1.316666667,1.0848,0.345671649,0.36053427,0.77,0.517866667,1.061363182,0.813026935,14.019,14.90384,7.44291932,6.328144506,17.364,7.372593333,0.963420858,0.745318786,2,2.643333333,0.816496581,0.525473332,2,1.976666667,1.011404265,0.592887477,1.443333333,1.788966667,0.44289452,0.358327502,1.06,1.337133333,1.052552645,0.600739802,7.111966667,8.028128333,1.245177059,0.505922472,2.9063,5.406193667,1.082648451,0.681926175,1,0,0,0,37.8
Mg0.9Li0.05Al0.05B2,4,1.345,1.0825,0.303356226,0.357839,0.77,0.5295,1.358289411,0.875521035,17.25975,15.06421667,8.54723158,6.414400035,20.041,7.175816667,1.256008849,0.846152669,2.25,2.666666667,0.829156198,0.50552503,2,1.983333333,1.310783678,0.657664267,1.485,1.796166667,0.390288355,0.349604975,1.06,1.343666667,1.351559044,0.648650973,6.830425,8.015485,1.183489147,0.526800774,2.9063,5.442138333,1.371204024,0.71892071,1,0,0,0,37.8
Mg0.8Ti0.2B2,3,1.293333333,1.076666667,0.333299998,0.350555115,0.77,0.456666667,1.063020872,0.925325928,27.661,16.8798,15.31304098,10.16216604,37.056,4.0162,0.942553072,1.045809462,3,2.8,0.816496581,0.54160256,2,1.733333333,1.060856947,0.78013078,1.63,1.812,0.304740327,0.326786373,0.73,1.257333333,1.081446275,0.695381278,7.590766667,8.026193333,0.601362976,0.428314216,1.4699,5.076793333,1.09545776,0.767368001,2,0.133333333,0.047619048,1.066666667,37.8
Mg0.997Fe0.003B2,3,1.223333333,1.086306667,0.31457202,0.362650556,0.77,0.552093333,1.064744695,0.701032904,30.32033333,15.34054,18.87067328,6.482688679,45.034,8.021516667,0.90529472,0.713085637,4.333333333,2.672666667,2.624669291,0.500186188,6,1.992,0.925129084,0.580418315,1.726666667,1.797186667,0.306847773,0.343782225,0.73,1.35817,1.082246875,0.56140269,7.948866667,8.080989533,0.268117105,0.307005744,0.6518,5.5240976,1.098044893,0.63000191,2,0.006,0.002244949,0.008,37.8
Mg0.982Cu0.018B2,3,1.236666667,1.084746667,0.315841029,0.361102574,0.77,0.545653333,1.064850433,0.729968954,32.88733333,15.544446,22.36794418,7.340562247,52.735,7.574560667,0.870775848,0.790130104,5.333333333,2.720666667,4.027681991,0.795805392,9,1.934,0.83140252,0.659209261,1.75,1.800206667,0.316333158,0.34212964,0.73,1.3486,1.081527973,0.585633786,7.8902,8.081214533,0.290211004,0.306642748,0.6518,5.4856416,1.097941167,0.65206295,2,0.06,0.022053418,0,37.8
Mg0.95Cu0.05B2,3,1.236666667,1.081333333,0.315841029,0.357712485,0.77,0.532,1.064850433,0.775503465,32.88733333,15.96301667,22.36794418,8.801568388,52.735,6.637483333,0.870775848,0.890741596,5.333333333,2.816666667,4.027681991,1.161775461,9,1.816666667,0.83140252,0.756501489,1.75,1.8065,0.316333158,0.338461347,0.73,1.328333333,1.081527973,0.622474908,7.8902,8.08207,0.290211004,0.305537838,0.6518,5.403226667,1.097941167,0.686545497,2,0.166666667,0.059171598,0,37.75
Mg1B1.958C0.042,3,1.066666667,1.085826667,0.377918275,0.3636433,0.83,0.530933333,1.039369126,0.741905645,15.709,15.3258,6.098000328,6.350807268,13.494,7.933512667,1.027649788,0.743608141,3,2.680666667,0.816496581,0.49533782,2,1.902,1.060856947,0.656333503,1.966666667,1.803806667,0.508876759,0.354242068,1.24,1.29574,1.063902991,0.645143565,9.068166667,8.122205533,1.572746477,0.483284406,3.6141,5.2581838,1.084005764,0.710439565,1,0,0,0,37.7
Mg1.995Mn0.005B2,3,1.223333333,1.21455,0.31457202,0.384760052,0.77,0.79645,1.064744695,0.651396101,30.018,17.59629125,18.46215605,6.87096942,44.127,12.05344625,0.90946725,0.640942165,4,2.50625,2.160246899,0.524367178,5,1.49125,0.959614794,0.693655582,1.633333333,1.6753,0.303790864,0.364798451,0.73,1.0180625,1.081592695,0.677151364,7.792733333,7.97183475,0.367630261,0.326251307,0.864,4.1397075,1.097508249,0.700490964,2,0.00625,0.002493766,0.0125,37.7
Mg0.95Zr0.05B2,3,1.343333333,1.086666667,0.362981481,0.362981481,0.77,0.526666667,1.058938072,0.790408595,42.11333333,16.42431667,35.16072804,11.57249888,80.413,6.176183333,0.762605543,0.936937512,3,2.7,0.816496581,0.493288286,2,1.933333333,1.060856947,0.653815714,1.56,1.797,0.33950945,0.34366311,0.73,1.337833333,1.075896155,0.603514391,7.526033333,8.063861667,0.684659148,0.354777038,1.6641,5.421435,1.094433162,0.678583808,3,0.033333333,0.012345679,0.266666667,37.7
Mg1.99Mn0.01B2,3,1.223333333,1.2141,0.31457202,0.384519427,0.77,0.7929,1.064744695,0.658958007,30.018,17.6345825,18.46215605,6.992531737,44.127,11.9543925,0.90946725,0.659001887,4,2.5125,2.160246899,0.547579903,5,1.4825,0.959614794,0.709372609,1.633333333,1.6756,0.303790864,0.364596544,0.73,1.016125,1.081592695,0.683481358,7.792733333,7.9715695,0.367630261,0.326602022,0.864,4.130415,1.097508249,0.707052101,2,0.0125,0.004975124,0.025,37.6
Mg0.4Ti0.6B2,3,1.293333333,1.056666667,0.333299998,0.323350515,0.77,0.34,1.063020872,1.016654151,27.661,20.0214,15.31304098,14.63134867,37.056,6.332733333,0.942553072,1.015336628,3,3.066666667,0.816496581,0.573488351,2,1.733333333,1.060856947,0.841685338,1.63,1.842666667,0.304740327,0.286553466,0.73,1.185333333,1.081446275,0.746512471,7.590766667,7.917113333,0.601362976,0.586252774,1.4699,4.512506667,1.09545776,0.817562915,2,0.4,0.130434783,3.2,37.6
Mg0.97Cu0.03B2,3,1.236666667,1.083466667,0.315841029,0.359838828,0.77,0.540533333,1.064850433,0.748579393,32.88733333,15.70141,22.36794418,7.922677825,52.735,7.223156667,0.870775848,0.833637421,5.333333333,2.756666667,4.027681991,0.950853418,9,1.89,0.83140252,0.701472137,1.75,1.802566667,0.316333158,0.340772278,0.73,1.341,1.081527973,0.60085407,7.8902,8.081535333,0.290211004,0.306229154,0.6518,5.454736,1.097941167,0.666254829,2,0.1,0.036275695,0,37.58
Mg1B1.98C0.02,3,1.066666667,1.086266667,0.377918275,0.363297026,0.83,0.542666667,1.039369126,0.71980172,15.709,15.317,6.098000328,6.356223407,13.494,8.021593333,1.027649788,0.720200814,3,2.673333333,0.816496581,0.482999885,2,1.953333333,1.060856947,0.614658082,1.966666667,1.800066667,0.508876759,0.348997606,1.24,1.3294,1.063902991,0.604832572,9.068166667,8.100482,1.572746477,0.401375794,3.6141,5.401611333,1.084005764,0.671848059,1,0,0,0,37.533333
Mg0.6Ti0.4B2,3,1.293333333,1.066666667,0.333299998,0.337375491,0.77,0.36,1.063020872,1.011217577,27.661,18.4506,15.31304098,12.69410902,37.056,2.346333333,0.942553072,1.085817352,3,2.933333333,0.816496581,0.573488351,2,1.6,1.060856947,0.842780302,1.63,1.827333333,0.304740327,0.307711264,0.73,1.154666667,1.081446275,0.743945193,7.590766667,7.971653333,0.601362976,0.516282193,1.4699,4.621586667,1.09545776,0.818074085,2,0.266666667,0.090909091,2.133333333,37.5
Mg1.985Mn0.015B2,3,1.223333333,1.21365,0.31457202,0.384278125,0.77,0.78935,1.064744695,0.665853258,30.018,17.67287375,18.46215605,7.111810388,44.127,11.85533875,0.90946725,0.674950521,4,2.51875,2.160246899,0.569779288,5,1.47375,0.959614794,0.72319758,1.633333333,1.6759,0.303790864,0.364394278,0.73,1.0141875,1.081592695,0.689201739,7.792733333,7.97130425,0.367630261,0.326952144,0.864,4.1211225,1.097508249,0.71300069,2,0.01875,0.007444169,0.0375,37.4
Mg0.98Co0.02B2,3,1.226666667,1.084333333,0.314783876,0.360792492,0.77,0.545,1.064792726,0.73248786,31.34966667,15.53985333,20.26741584,7.249704624,48.122,7.546746667,0.891248014,0.792423343,4.666666667,2.713333333,3.091206165,0.696052361,7,1.94,0.892117871,0.65196656,1.743333333,1.800466667,0.31329787,0.341870027,0.73,1.347466667,1.081764223,0.588008927,7.941733333,8.082298667,0.269539377,0.305637563,0.6518,5.47946,1.098038303,0.655133958,2,0.046666667,0.017199017,0.04,37.4
Mg0.9Zr0.1B2,3,1.343333333,1.086666667,0.362981481,0.362981481,0.77,0.5,1.058938072,0.852527726,42.11333333,17.53963333,35.16072804,14.99645258,80.413,4.2507,0.762605543,1.034149778,3,2.733333333,0.816496581,0.512076383,2,1.866666667,1.060856947,0.708761408,1.56,1.797333333,0.33950945,0.343199974,0.73,1.315666667,1.075896155,0.634711878,7.526033333,8.04699,0.684659148,0.395922441,1.6641,5.31087,1.094433162,0.71416203,3,0.066666667,0.024390244,0.533333333,37.3
Mg0.8Zr0.2B2,3,1.343333333,1.086666667,0.362981481,0.362981481,0.77,0.446666667,1.058938072,0.938574082,42.11333333,19.77026667,35.16072804,19.98428687,80.413,1.125733333,0.762605543,1.096129336,3,2.8,0.816496581,0.54160256,2,1.733333333,1.060856947,0.78013078,1.56,1.798,0.33950945,0.342270848,0.73,1.271333333,1.075896155,0.67791666,7.526033333,8.013246667,0.684659148,0.465641841,1.6641,5.08974,1.094433162,0.763949435,3,0.133333333,0.047619048,1.066666667,37.3
Mg1.9Cu0.1B12,3,1.236666667,0.937714286,0.315841029,0.265158559,0.77,0.702285714,1.064850433,0.593429432,32.88733333,13.01900714,22.36794418,6.30085682,52.735,8.812671429,0.870775848,0.706865699,5.333333333,2.921428571,4.027681991,0.765952788,9,2.492857143,0.83140252,0.430334781,1.75,1.939928571,0.316333158,0.249895682,0.73,1.735,1.081527973,0.347341274,7.8902,8.205458571,0.290211004,0.226775532,0.6518,7.057382857,1.097941167,0.419041805,2,0.071428571,0.024449878,0,37.3
Mg0.97Al0.03B2,3,1.286666667,1.084966667,0.330286071,0.360965832,0.77,0.539033333,1.063406377,0.753603729,20.69933333,15.33577,7.077001923,6.404420387,16.171,7.588796667,1.033669121,0.768555813,2.666666667,2.676666667,0.471404521,0.467748745,1,1.97,1.08219553,0.611272152,1.653333333,1.799666667,0.299592316,0.341164509,0.73,1.3439,1.082274655,0.594357844,7.31,8.064129333,0.97342695,0.368962302,2.3122,5.472142,1.089516008,0.657394447,1,0,0,0,37.3
B2Mg0.7,2,1.215,1.02962963,0.385,0.337435662,0.77,0.2,0.642067283,0.674161234,17.558,14.30944444,6.747,5.913450414,13.494,1.706851852,0.617382033,0.686016177,2.5,2.740740741,0.5,0.438228132,1,1.703703704,0.673011667,0.485045143,1.675,1.850740741,0.365,0.319906536,0.73,1.171481481,0.669213135,0.4766745,7.9721,8.129014815,0.3259,0.285637096,0.6518,4.164318519,0.692311358,0.555489494,1,0,0,0,37.2
Mg0.99Co0.01B2,3,1.226666667,1.0855,0.314783876,0.361890522,0.77,0.549166667,1.064792726,0.715396465,31.34966667,15.42442667,20.26741584,6.820882339,48.122,7.824206667,0.891248014,0.751135788,4.666666667,2.69,3.091206165,0.594894949,7,1.97,0.892117871,0.615244751,1.743333333,1.798566667,0.31329787,0.34300478,0.73,1.353733333,1.081764223,0.573729861,7.941733333,8.081516,0.269539377,0.30645159,0.6518,5.50573,1.098038303,0.641517644,2,0.023333333,0.008674102,0.02,37.1
Mg0.9Al0.05Li0.05B2,4,1.345,1.0825,0.303356226,0.357839,0.77,0.5295,1.358289411,0.875521035,17.25975,15.06421667,8.54723158,6.414400035,20.041,7.175816667,1.256008849,0.846152669,2.25,2.666666667,0.829156198,0.50552503,2,1.983333333,1.310783678,0.657664267,1.485,1.796166667,0.390288355,0.349604975,1.06,1.343666667,1.351559044,0.648650973,6.830425,8.015485,1.183489147,0.526800774,2.9063,5.442138333,1.371204024,0.71892071,1,0,0,0,37.1
