formula,Tc
Tm1Ni1.92Fe0.08B2C1,7.39
Er1Ir2Rh2B4,7.37
Er1Ni1.96Fe0.04B2C0.99,7.35
Lu0.9Dy0.1Ru1B2,7.34
Er0.46Ho0.54Rh4B4,7.32
La1Ru3Si2,7.316
Er1Ni1.965Fe0.035B2C1,7.31
Lu0.88Gd0.12Ni2B2C1,7.3
Lu0.8Tm0.2Ru1B2,7.295
Pu1Rh1Ga5,7.283333
Er0.85Tb0.15Ni2B2C1,7.225
U0.9Np0.1Co1Ga5,7.2
Er1Ni0.973Co0.054B2C1,7.2
Ho1Ni1.998Co0.004B2C1,7.2
La0.1Ce0.9Ru2,7.194
La0.05Ce0.95Ru2,7.181
La2.9579Ce0.0421In1,7.11
Tb0.2Er0.8Ni2B2C1,7.1
La2.96Ce0.04In1,7.01
La1Ru3Os1P12,7
Ge5La1,7
Ho1Ni1.99Fe0.01B2C1,7
La1Os2Ru2P12,7
La1Ru2Os2P12,7
La1Os1Ru3P12,7
Lu3Si5,7
Th1Ni2B2C1,6.966667
Lu0.65Er0.35Ru1B2,6.94
La1Ru4P12,6.923333
La2.9745Gd0.0255In1,6.92
Y4Dy1Os4Ge10,6.9
La5B2C6,6.9
Er0.9Gd0.1Rh4B4,6.88
Er0.91Gd0.09Rh4B4,6.87
La0.95Ce0.05Ru4P12,6.8
La0.92Tm0.08Ru3Si2,6.8
Lu1Si3,6.78
Er1Rh2Ir2B4,6.76
Lu2Ir3Si4.95Ge0.05,6.75
Ho1Ni1.995Co0.01B2C1,6.72
La1Si10,6.7
La1Pt1B1N1,6.7
Tm1Ni1.9Fe0.1B2C1,6.64
Ho0.95La0.05Ni2B2C1,6.62
La1Ru2.94Co0.06Si2,6.62
Ho0.8Dy0.2Ni2B2C1,6.61
Lu5Ir4Si8Ge2,6.6
Th1Pt2B2C1,6.6
Er1Ni1.97Co0.06B2C1,6.6
Ho1.8Dy0.2Ni2B2C1,6.6
Lu4Sc1Ir4Si10,6.59
Ce0.9Pr0.1Ru2,6.55
Ce0.94La0.06Ru2,6.55
La2.92Pr0.18Tl1,6.51
La1Pt2.2B2C1,6.5
As3La4,6.5
Th1Ir1Si1,6.5
Lu0.8Ho0.2Ru1B2,6.46
La1Ru2.85Co0.15Si2,6.45
Er0.25Ho0.75Rh4B4,6.44
Er0.187Ho0.813Rh4B4,6.43
Ho1Rh3.72Ru0.28B4,6.42
Ho1Rh3.6Ru0.4B4,6.42
Ho1Ir2Rh2B4,6.41
Lu0.9Gd0.1Ru1B2,6.4
Lu5Ir4Si9Ge1,6.38
La1Sn3,6.358286
Ho1Rh3Ru1B4,6.35
Ho1Rh2Ir2B4,6.35
Lu2Ir3Si4.98Ge0.02,6.32
Ho1Th3.4Ru0.6B4,6.3
Lu0.6Er0.4Ru1B2,6.295
La0.87Th0.13Sn3,6.26
La1Ru2.97Fe0.03Si2,6.22
Ho0.2Dy0.8Ni2B2C1,6.215
Er1Ni1.9675Co0.065B2C1,6.2
Ce1Ru2Sc1,6.2
Lu2Ir3Si4.75Ge0.25,6.2
La3Pr0.3In1,6.2
Pr1Pt1.5Au0.6B2.4C1.2,6.2
La3Sn1,6.2
Ce0.97La0.03Ru2,6.17
Lu0.81Gd0.19Ni2B2C1,6.155
Er0.134Ho0.866Rh4B4,6.15
Ho1Rh3.4Ru0.6B4,6.14
Ce0.88La0.12Ru2,6.14
Ir2Th1,6.11
Lu1Re1B1C1,6.1
La0.84Tm0.16Ru3Si2,6.1
Lu4.75Sc0.25Ir4Si10,6.06
Lu4.5Sc0.5Ir4Si10,6.06
La1Ru2.76Co0.24Si2,6.04
La2.9602Gd0.0398In1,6.04
Lu1Fe3Si5,6
Lu1Ni1.87Co0.26B2C1,6
Pr1Pt2.1B2.4C1.2,6
Pr1Pt1.5Au0.6B2C1,6
Pr1Pt2B2C1,6
Cu1La1,6
La9Br5B3C6,6
Lu5Ir4Si9.5Ge0.5,6
La2.9706Gd0.0294In1,6
Ce1Ru2,5.998273
Al1La3,5.986667
Ho0.6Dy0.4Ni2B2C1,5.98
Sc4Dy1Ir4Si10,5.95
Er0.16Ho0.84Rh4B4,5.95
La0.987Gd0.013Sn3,5.94
Ce0.91La0.09Ru2,5.91
Ho0.65Dy0.35Ni2B2C1,5.905
Hg1Sm1Pb2,5.9
Er0.775Tb0.225Ni2B2C1,5.9
Tm1Ni1.94Co0.12B2C1,5.9
Tb0.225Er0.775Ni2B2C1,5.9
Er0.11Ho0.89Rh4B4,5.883333
La0.15Ce0.85Ru2,5.872
Th0.9La0.2Ru2,5.87
Ho0.4Dy0.6Ni2B2C1,5.855
Lu4.9Sc0.1Ir4Si10,5.835
Ho0.7Dy0.3Ni2B2C1,5.83
Ga1La3,5.82
Ce0.8Pr0.2Ru2,5.82
Lu5Ir4Si9.8Ge0.2,5.8
Dy0.6Tm0.4Ni2B2C1,5.77
Lu5Ir3.1Rh0.9Si10,5.77
Pr0.95Ce0.05Pt4Ge12,5.75
Lu5Ir3.12Rh0.88Si10,5.74
Lu5Ir3.44Rh0.56Si10,5.72
La2.9394Ce0.0606In1,5.72
Lu5Ir3.4Rh0.6Si10,5.7
Th1Ir1.8Os0.2,5.66
Lu5Ir2.8Rh1.2Si10,5.66
Er0.82Tb0.18Ni2B2C1,5.63
Dy0.95Tb0.05Ni2B2C1,5.61
Al1Gd0.001La3,5.6
Th3Os4Ge13,5.6
La0.06Th0.94Pb3,5.58
La2.94Ce0.06In1,5.58
Pb3Th1,5.55
Tm1Ni1.88Fe0.12B2C1,5.52
Pr0.93Ce0.07Pt4Ge12,5.52
Lu5Ir3.8Co0.2Si10,5.52
Er5Os4Si15,5.5
Th0.93Zr0.07B12,5.5
Lu2Fe3Si5,5.492222
La0.962Tm0.038Sn3,5.49
Th1Rh0.85Si1.15,5.48
Lu5Ir2Rh2Si10,5.45
La2Sn5,5.4
Nd1Rh6B6,5.4
La1Pt4Ge14,5.4
Ce0.85La0.15Ru2,5.35
Lu0.05Dy0.95Ni2B2C1,5.325
Nd1Rh4B4,5.323333
La1Ir1P1,5.3
Lu0.55Er0.45Ru1B2,5.26
La2.706Pr0.294Tl1,5.25
Er0.8Tb0.2Ni2B2C1,5.2
Y3.25Dy1.75Os4Ge10,5.2
Y0.45Dy0.55Ni2B2C1,5.2
Lu2Ir3Si4.5Ge0.5,5.2
La0.92Tm0.08Sn3,5.17
Th1Ir1.6Os0.4,5.15
Ce0.7Pr0.3Ru2,5.11
Er1Ni1.9625Co0.075B2C1,5.1
Lu5Ir4Si6Ge4,5.1
La3Co4Sn12.35In0.65,5.1
Ho1Rh3.6Ir0.4B4,5.09
Lu0.8Dy0.2Ru1B2,5.07
La2.9628Gd0.0372In1,5.04
Dy1Ni2B2C1,5.033571
Re2Th1,5.025
La3Co1Ru3Sn13,5
Ho1Ni1.993Co0.014B2C1,5
La1Pt4Ge15,4.98
Np1Pd5Al2,4.95
Ce0.84Y0.16Ru2,4.92
La2.9Ce0.1Ni2B2N2.7,4.9
Tb0.25Er0.75Ni2B2C1,4.9
Lu4.5Th0.5Ir4Si10,4.88
La3Ru1,4.875
Th1Ir1.8Ru0.2,4.86
Lu0.8Gd0.2Ru1B2,4.84
Lu1.94Sc0.06Fe3Si5,4.83
Y3Dy2Os4Ge10,4.8
Lu5Ir1.2Rh2.8Si10,4.8
Lu1Ni1.85Co0.3B2C1,4.8
La3Ru1Pd3Ge13,4.8
La0.9Ce0.1Ru4P12,4.8
Ho1Ni1.99Co0.02B2C1,4.8
Ce0.8La0.2Ru2,4.77
Lu0.9Tb0.1Ru1B2,4.76
Ce1Ru1.99Co0.01,4.74
Th0.9La0.1Ru2,4.73
Th1Pt4Ge12,4.71
Ir3Th1,4.71
Lu5Ir4Si9.9Ge0.1,4.7
La3Ir2Ge2,4.7
Dy0.9Tb0.1Ni2B2C1,4.7
Ce0.97Gd0.03Ru2,4.69
Ho1Rh2.6Ru1.4B4,4.68
Lu1Os3B2,4.655
La0.933Gd0.067Sn3,4.64
Dy1Ir2Rh2B4,4.64
Er1Ni1.92Fe0.08B2C1,4.63
Pr0.915Ce0.085Pt4Ge12,4.61
Lu2Ir3Si4.25Ge0.75,4.6
La3Co4Sn11.7In1.3,4.6
Lu2Ir2.97Rh0.03Si5,4.6
La1Ru2.94Fe0.06Si2,4.58
Al1Gd0.003La3,4.58
Th0.8Nd0.2Ru2,4.55
Dy0.9Tm0.1Ni2B2C1,4.55
Ce0.84Y0.1Gd0.06Ru2,4.55
Dy1Rh2Ir2B4,4.53
Lu1.94Dy0.06Fe3Si5,4.52
Ho1Ni1.95Co0.03B2C1,4.51
Ce0.86Tb0.14Ru2,4.51
Lu4.95Sc0.05Ir4Si10,4.5
Gd1Sm1Ni2,4.5
Ho5Os4Si15,4.5
Sc3.5Dy1.5Ir4Si10,4.465
La1Tl0.24Pb2.76,4.46
Th0.9La0.3Ru2,4.45
Er0.75Tb0.25Ni2B2C1,4.45
Th1Rh4B4,4.448
Pr1Pt4Ge11.5Sb0.5,4.43
Lu2Ir3Si5,4.425
La2.9251Ce0.0749In1,4.42
La1Ni0.84Bi2.04,4.41
Th1Ir1.4Os0.6,4.41
Er0.8Gd0.2Rh4B4,4.41
Tm1Ni1.92Co0.16B2C1,4.4
La2Rh3Si5,4.4
Tm1Ir2Rh2B4,4.38
Lu0.418Dy0.582Ni2B2C1,4.35
La1Rh1Si1,4.35
La0.9837Ce0.0163Sn3,4.33
Lu1.9Sc0.1Fe3Si5,4.33
Lu0.6Tm0.4Ru1B2,4.31
Y0.15Dy0.85Ni2B2C1,4.3
Dy1Rh1.6Ir2.4B4,4.3
La2.9553Gd0.0447In1,4.3
Lu0.4Dy0.6Ni2B2C1,4.3
La0.92Gd0.08Sn3,4.28
La0.3Nd0.7Pt2.1B2.4C1.2,4.28
La0.2Ce0.8Ru2,4.227
Co1La3,4.226667
Dy1Ni0.74Bi1.78,4.2
Ce1Ni0.8Bi2.03,4.2
Tb1Ni0.74Bi1.9,4.2
Sm1Ni0.78Bi2.08,4.2
Nd1Ni0.72Bi2.14,4.2
Pr1Ni0.79Bi1.98,4.2
Gd1Ni0.72Bi1.91,4.2
Er1Ni1.96Co0.08B2C1,4.2
Er0.76Gd0.24Rh4B4,4.18
La0.908Tm0.092Sn3,4.18
La0.9Y0.1Co2B2,4.175
Lu1.9Y0.1Fe3Si5,4.16
Ce1Ni0.8Bi2,4.15
Pr0.9Ce0.1Pt4Ge12,4.11
Ce1Ni0.86Bi2,4.1
Lu5Ir4Si9.95Ge0.05,4.1
Dy1Ni1.995Co0.01B2C1,4.1
Gd0.06In1La2.94,4.1
Nd1Ni0.89Bi2,4.1
La1Pb3,4.086667
Ce1Pt0.1Ru1.9,4.08
La1Ni0.72Bi2,4.05
La2.9234Ce0.0766In1,4.02
La1Ni0.65Bi2,4
Lu4Rh6Sn19,4
La3Co2Ru2Sn13,4
Lu4.975Sc0.025Ir4Si10,4
Lu1Rh1.2Sn4,4
Tb1Re1B1C1,4
Gd1Re1B1C1,4
La1Co1.4Fe0.6B2,4
Dy1Th3.4Ru0.6B4,4
Tm1Ni1.84Fe0.16B2C1,3.99
Th1Ru3.5Si2,3.98
Th1Ru3Si2,3.98
La0.25Th0.75Sn3,3.94
Au22La78,3.934
La1Ru2P2,3.933333
Ir5Th1,3.93
La2.574Pr0.426Tl1,3.92
Al1Ce0.01La3,3.92
La3Ru4Ge13,3.9
La1Ru1.5Sn4.5,3.9
Lu4.5Y0.5Ir4Si10,3.9
Fe1U6,3.88875
La1Pt1Si1,3.833333
Dy1Rh2.4Ir1.6B4,3.83
Lu5Ir4Si10,3.82
Th1Ir0.75Si1.25,3.82
Lu2Ir2.91Rh0.09Si5,3.8
Y2.5Dy2.5Os4Ge10,3.8
Lu1Ni1.83Co0.34B2C1,3.8
Co20Th80,3.8
La75Au15Cu10,3.795
Lu1.9Dy0.1Fe3Si5,3.77
La0.936Gd0.064Sn3,3.76
La6Zn1Sb15,3.74
Th1Ir0.6Os1.4,3.73
Lu5Rh4Si10,3.72
La0.99Nd0.01Pt1Si1,3.71
La1Ru2,3.7032
Eu1Pt1Si3,3.7
Ho1Ni1.98Co0.04B2C1,3.7
Ni25Th75,3.7
Ge1La3,3.7
La2.55Pr0.45Tl1,3.68
Ru2Th1,3.68
La0.95Ce0.05Ru2,3.616
Th1Ir1Os1,3.61
Lu2Ir3Si4Ge1,3.6
Lu3Os4Ge13,3.6
La1Sn2,3.6
Sn3Yb1,3.6
La3Ni1,3.6
Lu0.37Dy0.63Ni2B2C1,3.59
Th1Ir0.4Os1.6,3.56
Lu1.86Y0.14Fe3Si5,3.51
Lu1.86Sc0.14Fe3Si5,3.51
Dy5Os4Si15,3.5
Ce1Os3B2,3.5
Ce1Ru1.97Co0.03,3.5
La3Rh2Ge2,3.5
La1Ru2Si2,3.5
Lu1Os2,3.49
La2.952Gd0.048In1,3.48
La0.9709Ce0.0291Sn3,3.47
Cu1Th2,3.465
La0.1Nd0.9Pt2.1B2.4C1.2,3.45
Pr0.86Ce0.14Pt4Ge12,3.43
Dy0.8Tm0.2Ni2B2C1,3.42
La0.98Nd0.02Pt1Si1,3.42
Ce1Pt0.2Ru1.8,3.4
Yb3Co4.3Sn12.7,3.4
La1Pt1Ge1,3.4
Ce0.93Gd0.07Ru2,3.38
Lu1Ni0.8Cu0.2B1C1,3.38
Au1Th2,3.365
Th1In0.75Sn2.25,3.36
Ce1Ir3,3.34
Sn3Th1,3.33
La0.84Tm0.16Sn3,3.33
Ce0.84Y0.06Gd0.1Ru2,3.32
Cr0.2Fe0.8U6,3.3
La0.84Sn3Tm0.16,3.3
La0.95Pr0.05Pb3,3.3
N1Th1,3.3
Lu1Ni0.9Cu0.1B1C1,3.3
La1Ru4Sb12,3.293333
La0.97Nd0.03Pt1Si1,3.27
La1Pd0.8Sb2,3.25
Dy0.75Tb0.25Ni2B2C1,3.24
La0.98Gd0.02Ru2,3.23
La1Pt0.9Ni0.1Si1,3.23
La1Al2,3.23
Th1Ir0.8Os1.2,3.22
La0.9997Ce0.0003Pt1Si1,3.2
Lu1.9Sc0.1Ir3Si5,3.2
La3Pr0.6In1,3.2
Tm1Ni1.91Co0.18B2C1,3.2
La1Os4As12,3.2
Lu1Ni1B0.8C1.2,3.2
Tb5Os4Si15,3.2
Lu4Ir6Sn19,3.2
La0.25Ce0.75Ru2,3.196
Th1Ir1.2Os0.8,3.16
La3Ru8B6,3.15
Tm1.4Y3.6Rh6Sn18,3.14
Pt5Th1,3.13
La1Ru2.925Fe0.075Si2,3.12
Er1Ni1.9Co0.1B2C1,3.1
Th1Ir0.2Ru1.8,3.1
La1Ir1As1,3.1
Lu1.92Sc0.08Ir3Si5,3.1
La3Rh4Sn13,3.1
Lu2Ir2.7Rh0.3Si5,3.1
Dy1Ni1.99Co0.02B2C1,3.1
Lu1Ir2Rh2B4,3.08
Y0.4Lu0.6Ir4B4,3.07
Pd2Y0.25Tm0.75Sn1,3.06
Pd2Lu1Sn1,3.05
Th0.9La0.9Ru2,3.05
La0.96Nd0.04Pt1Si1,3.04
Y0.2Lu0.8Ir4B4,3.04
La0.9647Ce0.0333Sn3,3.03
La2Sb1,3.025
La0.9Ce0.1Ru2,3.012
Ho0.93La0.07Ni2B2C1,3
B6Nd1,3
La3Rh2Sn13,3
Fe0.25Ni0.75U6,3
Lu4.98Yb0.02Ir4Si10,3
Y0.3Lu0.7Ir4B4,2.98
Dy1Ga6,2.95
Lu1Ni0.9V0.1B1C1,2.94
Lu0.55Tm0.45Ru1B2,2.94
Th1Ir0.2Os1.8,2.93
Nd1Pt2.1B2.4C1.2,2.91
Lu1Pd2Sn1,2.91
Lu1Rh2Sn1,2.9
La0.9985Tb0.0015Al2,2.9
La1Al1.995Si0.005,2.9
Lu1Ni1B0.9C1.1,2.9
Lu1Ni1.81Co0.38B2C1,2.9
Ir3Lu1,2.89
Th1Ir1.6Ru0.4,2.87
Th1Ir0.6Ru1.4,2.87
Th1Ir0.4Ru1.6,2.87
La1Pd0.8Bi2,2.865
Si2Th1,2.862
Y2Dy3Os4Ge10,2.86
Lu4.5Tm0.5Ir4Si10,2.84
Dy1Rh2.8Ir1.2B4,2.82
La1Pt0.8Ni0.2Si1,2.82
Pd2Tm1Sn1,2.82
La3Co4Ge13,2.8
Lu1.96Sc0.04Ir3Si5,2.8
La1Pd0.6Ge0.14,2.8
Al1Gd0.0065La3,2.79
Tm0.8Lu0.2Fe3Si5,2.79
Lu5Rh4Ge10,2.79
Lu1Ni1B1C1,2.786667
La0.999Gd0.001Al2,2.78
La1Pt0.7Ni0.3Si1,2.775
La0.95Nd0.05Pt1Si1,2.76
Th1Ir0.1Si1.9,2.75
Lu4.5Er0.5Ir4Si10,2.74
La0.97Gd0.03Ru2,2.73
La2.9451Gd0.0549In1,2.71
Mn0.67Ni0.33U6,2.7
La1Pd1Sb2,2.7
Pr1Pt4Ge11Sb1,2.68
Lu1Ir3.6Rh0.4B4,2.67
Lu1Os1B2,2.66
Am0.01Si2Th1,2.66
La3Ru4Sn13,2.65
Pd2Yb1Pb1,2.65
Sm1Rh4B4,2.6475
La1Pt0.6Ni0.4Si1,2.63
La1Pd1Si3,2.625
Tm4Y1Rh6Sn18,2.61
Lu1Ni1.8Co0.4B2C1,2.6
Lu1Ni1B0.8C1,2.6
Lu1Ni0.8V0.2B1C1,2.6
La1Ni2P2,2.6
Ge2Lu1,2.6
Er1Ni1.955Co0.09B2C1,2.6
Al2Th3,2.6
Tm4Os4Si13,2.6
Th3Ir4Sn13,2.6
Yb1Ga1.15Si0.85,2.6
Lu1Ni1B0.9C1,2.6
La1Rh3,2.6
La7Rh3,2.59
Er0.6Y0.4Pd2Sn1,2.59
La0.9Pr0.1Pb3,2.58
La1Rh3B2,2.57
La0.94Nd0.06Pt1Si1,2.56
Ce0.8Tb0.2Ru2,2.56
La3Ir4Sn13,2.55
Lu5Ir4Ge10,2.55
La1Pb0.75Sn2.25,2.54
Th1Ir0.8Ru1.2,2.53
Th1Ir1Ru1,2.53
La1Ru2.9175Fe0.0825Si2,2.51
Er0.72Gd0.28Rh4B4,2.5
La1Rh1P1,2.5
Lu2Ir2.4Rh0.6Si5,2.5
Ga6Tb1,2.5
Bi1La4Pb2,2.5
Yb3Co4Sn13,2.5
Lu1Ni1B0.95C0.95,2.5
La3Pd4Ge4,2.493333
Lu0.1Dy0.9Ni2B2C1,2.485
Ir2Lu1,2.47
Mn1U6,2.4525
Al2Gd0.002La0.998,2.45
La0.85Ce0.15Ru2,2.444
Tm0.84Lu0.16Fe3Si5,2.44
La3Co4Sn13,2.425
Si1Th1,2.41
La3Co3.5Ru0.5Sn13,2.41
Yb1Ga1.1Si0.9,2.4
Lu1Ni1B1C0.85,2.4
La0.996Tb0.004Al2,2.4
La13Ga8Sb21,2.4
La2.406Pr0.594Tl1,2.4
Pd2Lu1Pb1,2.4
Ce1Ru1.95Co0.05,2.4
Lu1Ru2Si2,2.4
La1Rh1Al1,2.4
Lu1Ni1B1.1C0.9,2.4
Bi1.5La4Pb1.5,2.4
Ho1Ni1.972Co0.056B2C1,2.4
La0.998Gd0.002Al2,2.39
Pd2Yb1Sn1,2.39
Pr1Ru4As12,2.3825
La1Rh1Bi1,2.36
Th1Ir1.3Os0.7,2.36
Co1U6,2.358
La5Ru2,2.35
La7Ir3,2.33
Lu3Ru4Ge13,2.3
Pr1Th3.4Ru0.6B4,2.3
Tm4Rh6Sn19,2.3
La1Ir1Si1,2.3
Lu3Rh4Ge13,2.3
Dy0.85Tm0.15Ni2B2C1,2.3
Bi2La4Pb1,2.3
La0.93Nd0.07Pt1Si1,2.29
La1Pt0.5Ni0.5Si1,2.285
Ir3La7,2.28
La0.96Gd0.04Ru2,2.27
Th7Fe0.72Co2.28,2.27
Ce1Co1In4.9992Hg0.0008,2.254
Ce1Co1In4.9976Hg0.0024,2.252
Ce1Co0.9Ru0.1In5,2.25
Ho0.9La0.1Ni2B2C1,2.25
La6Ni2Sn1,2.25
Ga3Lu1,2.25
Th1Ir0.1Os1.9,2.25
La1Rh1Si3,2.245
Ce1Co1In4.9945Cd0.0055,2.226
Ag1Th2,2.225
Er1Ir4B4,2.22
Tm5Rh6Sn18,2.22
Al2La1,2.218429
Th1Ir2Si2,2.215
Ce1Co1In4.996Sn0.004,2.21
Ho1Rh1.6Ir2.4B4,2.2
Co0.92Mn0.08U6,2.2
La3Rh4Pb13,2.2
Ce1Co0.8Ru0.2In5,2.18
Ce1Co1In4.989Cd0.011,2.18
Ge1.83La1,2.17
Ge1.85La1,2.17
Ge1.9La1,2.17
Ge1.81La1,2.17
Er1Ni1.9Fe0.1B2C1,2.155
Rh3Th7,2.15
Ce1Co1In4.9835Cd0.0165,2.15
Th1Rh0.1Si1.9,2.15
Ce1Co1In4.875Zn0.125,2.14
Ce1Co1In4.98Cd0.02,2.14
La0.3Ce0.7Ru2,2.134
Ce0.987Yb0.013Co1In5,2.13
Ce1Co1In4.75Cd0.25,2.13
Ir5La1,2.13
Ce1Co0.7Ru0.3In5,2.13
Ho1.1Ir4B3.6,2.12
Er1Rh1.6Ir2.4B4,2.11
Ce1Pt2In7,2.1
Pd2Tm1Pb1,2.1
Dy1Ni1.985Co0.03B2C1,2.1
La7Ni3,2.1
La1Pd0.85Bi2,2.1
La1Rh1Sb1,2.1
Th1Ir3B2,2.09
Er0.8Y0.2Pd2Sn1,2.08
Th1Ir1.4Ru0.6,2.08
Tm1Rh1.3Sn4,2.07
La3Pd4Si4,2.065
Yb1Pd2Sn1,2.06
Ce1Au2Si2,2.051667
B6La1,2.05
Ce1Co1In4.96Cd0.04,2.05
La0.92Nd0.08Pt1Si1,2.04
Ce1Rh0.9Ir0.1In5,2.04
Ce1Co1In5,2.037308
La0.9991Ce0.0009Pt1Si1,2.03
Fe3Th7,2.016667
La0.8Ce0.2Ru2,2.01
Ce0.98La0.02Co1In5,2
Ce1Ir0.3Co0.7In5,2
Co0.94Rh0.06U6,2
Er0.4Tb0.6Ni2B2C1,2
Lu4.95Yb0.05Ir4Si10,2
Lu0.32Dy0.68Ni2B2C1,2
