formula,Tc
Ba0.48K0.52Bi1O2.9,21.1
Mg1B1.92F0.08,21
Y1Pd4B1C0.2,21
Nb0.79Al0.16Ge0.05,21
Li1Hf0.5Zr0.5N1Cl1,21
Mg1B1.6Be0.4,20.9
Al0.77Ge0.23Nb3,20.75
Nb0.79Al0.164Ga0.057,20.7
Al0.75Ge0.25Nb0.003,20.7
Nb3Al0.71Ge0.29,20.7
Ba0.52K0.48Bi1O2.93,20.6
Nb0.75Al0.19Ge0.06,20.45
Nb3Al0.66Ge0.34,20.4
Ba0.59K0.41Bi1O2.96,20.4
Nb3Al0.76Ge0.24,20.4
Al0.8Ge0.2Nb3,20.375
Al0.75Ge0.25Nb3.8,20.34
Sr0.33Hf1N1Cl1,20.3
Ga0.4Nb0.6,20.3
Nb0.78Al0.165Ge0.055,20.29
Al0.66Ge0.22Nb3.1,20.29
Nb0.75Al0.185Ge0.065,20.26
Ga0.32Nb0.68,20.2
Al0.75Ge0.25Nb3,20.2
Ba0.33Hf1N1Cl1,20.2
Ga0.245Nb0.755,20.2
Nb0.75Al0.178Ge0.072,20.1
Nb3Al0.95Ge0.05,20
Ba0.54K0.46Bi1O3,20
Ga0.25Nb0.75,20
Li0.37Hf1N1Cl1,20
Nb0.75Al0.1875Ge0.0625,20
Nb3Al0.93Ge0.07,20
Nb3Al0.94Ge0.06,20
Nb3Al0.7Ge0.3,19.9
Ga0.251Nb0.749,19.9
Nb3Al0.92Ge0.08,19.9
Nb0.75Al0.21Ge0.04,19.85
Nb3Al0.96Ge0.04,19.8
Nb0.75Al0.17Ge0.08,19.8
Nb3Al0.9Be0.1,19.8
Nb3Al0.75Ge0.25,19.8
Nb3Al0.95Be0.05,19.8
Nb2.96Al0.7592Ge0.3224,19.8
Nb3Al0.91Ge0.09,19.8
Nb0.75Al0.02Ge0.05,19.8
Nb3Al0.9B0.1,19.8
Nb0.75Al0.18Ge0.07,19.8
Nb3Al0.6Ge0.4,19.7
Nb0.75Al0.16Ge0.09,19.7
Nb0.758Al0.174Ge0.069,19.7
Nb3Al0.97Ge0.03,19.6
Nb3Al0.83Ge0.17,19.6
Al0.95Be0.05Nb3,19.6
Al1Ge1Nb3,19.5
Nb0.75Al0.16Ga0.09,19.45
Mg1B1.4C0.6,19.45
Sm1Fe1As0.5P0.5O0.85,19.35
Nb3Al0.98Ge0.02,19.3
Al0.22Nb0.75Si0.3,19.2
Nb0.75Al0.23Ge0.02,19.2
Al0.9As0.05Ga0.05Nb3,19.2
Nb3Al0.927Ga0.073,19.2
Nb3Al0.95Ga0.05,19.2
Nb0.75Al0.175Ga0.075,19.1
Nb3Al0.907Ga0.093,19.1
Nb0.75Al0.225Ga0.025,19.1
Nb3Al0.75Ga0.3,19.1
Al0.95B0.05Nb3,19.1
Al0.5Ga0.5Nb3,19
Nb3Al0.991Ge0.009,19
Li1Hf0.45Zr0.55N1Br1,19
Na0.8Hf1N1Cl1,19
Nb3Al0.967Ga0.033,19
Na0.29Hf1N1Cl1,19
Ba0.45K0.55Bi1O2.83,18.95
Al0.9Ge0.1Nb3,18.9
Nb3Al0.983Ga0.017,18.8
Nb3Al0.5Ga0.5,18.75
Ba0.52K0.48Bi1O3,18.7
Nb0.73Al0.255Si0.015,18.7
Ba0.65K0.35Bi1O2.99,18.7
Nb3Al0.67Ga0.33,18.7
Ga0.25Si0.75V3,18.6
Ga1Si1V3,18.6
Nb3Al0.985Si0.015,18.6
Nb75Ga15Al10,18.55
Nb3Al0.8Ga0.2,18.54
Nb3Al0.9Ga0.1,18.5
Nb3Al0.975Si0.025,18.5
Nb3Al0.956Si0.044,18.5
Nb3Ga0.5Al0.5,18.5
Al0.245Nb0.725,18.4
Nb3Al0.98Se0.02,18.4
Li0.8Fe1.2Se0.34S0.66H1O1,18.4
Ba0.6K0.4Bi0.969Pr0.031O3,18.4
Al3Nb3,18.4
Nb3Al0.945Si0.055,18.4
Nb3Al0.935Si0.065,18.4
Nb3Al0.964Si0.036,18.4
Nb3Al0.9In0.1,18.3
Al0.23Nb0.75Zr0.013,18.3
Nb2.85Ta0.15Sn1,18.3
Nb3Sn0.91Ga0.09,18.3
Nb3Ga0.05Sn0.95,18.3
Nb0.71Sn0.29,18.3
Nb75Ga7.5Al17.5,18.3
Nb3In0.15Sn0.85,18.3
Nb3Bi0.15Sn0.85,18.28
In0.15Nb3Sn0.85,18.26
Nb3Tl0.1Sn0.9,18.25
Nb75Ga5Al20,18.25
Bi0.15Nb3Sn0.85,18.23
Nb3Sn0.9Ga0.1,18.2
Ga0.5Si0.5V3,18.2
Nb3Pb0.15Sn0.85,18.2
Nb0.72Sn0.28,18.2
Nb3Al0.05Sn0.95,18.2
Li1Hf0.2Zr0.8N1Cl1,18.2
Nb3Sn0.85Tl0.15,18.2
Nb3As0.05Sn0.95,18.19
Ga0.15Nb3Sn0.7Tl0.15,18.14
Bi0.15Nb3Sn0.7Tl0.15,18.12
Ga0.15Nb3Pb0.15Sn0.7,18.11
Nb0.76Sn0.74,18.1
Nb3Sn0.9Al0.1,18.1
Nb3Al0.967Se0.033,18.1
Nb3Ga0.65Al0.35,18.1
Nb3Al0.9Zn0.1,18.1
Nb2.85Zr0.15Sn1,18.1
Nb2.7Zr0.3Sn1,18.1
Nb3Al0.8In0.2,18.1
Nb3Ga0.67Al0.33,18.1
Nb3Sn0.9In0.1,18.1
Nb3Sn0.95Ge0.05,18.1
As0.15Bi0.15Nb3Sn0.7,18.07
Al0.9Nb3Sb0.1,18.06
Nb3Ga0.2Bi0.2Sn0.6,18.06
As0.15Nb3Pb0.15Sn0.7,18.05
Bi0.15Ga0.15Nb3Sn0.7,18.04
As0.15Ga0.15Nb3Sn0.7,18.01
Bi0.15In0.15Nb3Sn0.7,18.01
Nb3Sn0.94Al0.06,18
C22H14K3.3,18
Nb2.985Hf0.015Al1,18
Al0.05Nb3Sn0.95,18
Nb0.747Al0.239Si0.014,18
Mg0.88Ir0.12B2,18
Nb2.7Ta0.3Sn1,18
Nb3Al0.952Se0.048,18
Nb3Sn0.96Al0.04,18
Nb2.97W0.03Al1,18
Nb3Sn0.9Ge0.1,18
As0.15In0.15Nb3Sn0.7,17.99
As0.15Nb3Sn0.7Tl0.15,17.98
As0.15Nb3Sn0.85,17.98
Nb3Ge0.1Sn0.9,17.97
Al0.215Nb0.785,17.97
Nb3.05Al0.7125Ge0.19,17.9
Nb0.75Al0.225Ge0.025,17.9
Nb2.85Ti0.15Sn1,17.9
Nb2.55Zr0.45Sn1,17.9
Nb1C0.5N0.5,17.9
Nb1C0.28N0.78,17.9
Nb3Sn0.92Al0.08,17.9
Nb3Sn0.98Al0.02,17.9
Nb0.75Al0.175Ge0.075,17.9
Nb0.76Al0.18Ge0.06,17.88
Nb3Sn1,17.846
Nb3Ge0.2Pb0.2Sn0.6,17.84
Ge0.15Nb3Pb0.15Sn0.7,17.82
Al0.95Nb3Sb0.5,17.81
Nb1C0.3N0.64,17.8
Nb3Sn0.91Al0.09,17.8
Nb3Al0.8B0.2,17.8
Nb2.75Sn1Ta0.25,17.8
Nb3Sn0.8In0.2,17.8
C0.25N0.75Nb0.85Ti0.15,17.8
Nb3Al0.94Se0.06,17.8
Nb2.75Ta0.25Sn1,17.8
Nb0.69Sn0.25Ta0.06,17.8
C0.35N0.65Nb1,17.8
Nb3Si0.06Sn0.94,17.8
Nb3Sn0.8Ge0.2,17.783333
Nb1C0.3N0.7,17.75
Bi0.15Ge0.15Nb3Sn0.7,17.75
Nb0.5Sn0.5,17.705
Nb2.94Ta0.06Al1,17.7
Al0.9Ga0.1Nb3,17.7
Nb2.1Zr0.9Sn1,17.7
Nb2.976Ti0.024Al1,17.7
Nb2.34Zr0.66Sn1,17.7
Nb1N0.98O0.02,17.7
Nb3Al0.8Zn0.2,17.7
Nb2.934V0.066Sn1,17.7
N0.85Nb0.66Ti0.34,17.61
Ga25Nb75,17.6
Sr2Y1Ru0.92Cu0.08O6,17.6
Nb3Al0.924Se0.076,17.6
Nb2.9925Zr0.0075Al1,17.6
Nb3Al0.9Se0.1,17.6
Nb2.5Ta0.5Sn1,17.6
Nb1C0.2N0.8,17.6
Nb0.625Sn0.25Ta0.125,17.6
Nb3Al0.81Ge0.19,17.6
Mg1B1.736C0.264,17.6
Nb2.5Sn1Ta0.5,17.6
Al25Nb75,17.5
Nb1C0.2N0.74,17.5
Al1Nb1Sn1,17.45
Nb3Sn0.8Ga0.2,17.4
Nb0.7425Zr0.0075Al0.25,17.4
Nb0.768Al0.146Ge0.086,17.4
Nb1C0.5N0.47,17.4
Nb2.97Zr0.03Al1,17.4
Nb3.07Al0.5859Ge0.279,17.4
Nb1C0.5Ni0.5,17.3
Nb3Al0.67Zn0.33,17.3
Nb80Ga19.7Fe0.03,17.3
Nb2.4Ta0.6Sn1,17.3
Nb1C0.3N0.62,17.3
Nb0.89Al0.11N0.85O0.17,17.3
N0.998Nb1O0.002,17.3
Nb1C0.2N0.7,17.2
Ba0.51K0.49Bi1O3,17.2
Nb2.94W0.06Al1,17.2
Nb2.859V0.141Al1,17.2
Nb75Ga10Al15,17.2
Nb3Al0.62Ge0.38,17.2
K0.21Ti1N1Br1,17.2
C0.026N0.974Nb1,17.2
Nb1N0.87O0.13,17.2
Nb3Ga0.85Al0.15,17.1
Nb2.85V0.15Sn1,17.1
Nb3Sb0.1Sn0.9,17.04
H4Si1,17
N0.74H2.22Na1Rb2C60,17
Nb1N1,17
C1.55Th0.3Y0.7,17
Hf0.33Nb0.67,17
Nb3Al0.8Be0.2,17
Y0.7Th0.3C1.35,17
Y1.4Th0.6C3.1,17
Nb78.5Sn2.2Al12.8Ge6.5,17
Nb1C0.5N0.42,17
Nb1C0.9N0.1,16.97
Si0.3V0.7,16.95
Nb3Sn2,16.9
Nb3Sn0.05Sn0.95,16.9
Al0.25V0.75,16.9
Ga0.15Nb3Sb0.15Sn0.7,16.89
Ga1Nb3,16.888889
Nb3Sn0.8Al0.2,16.85
Si0.25V0.75,16.837143
Nb2.85Ta0.15Al1,16.8
Nb0.87Si0.09N0.13O0.13,16.8
Y1.4Th0.6C3,16.8
Y1.3Th0.7C2.7,16.8
Si1V3,16.708333
Nb0.89Al0.11N0.84O0.16,16.7
Nb0.75Sn0.125Zr0.125,16.7
Y1.5Th0.5C3,16.7
V3Si0.99Be0.01,16.6
P0.2Si0.8V3,16.6
Pd0.55Cu0.45H0.7,16.6
Nb2.973Zr0.027Al1,16.6
Nb3Sn0.5Zr0.5,16.6
Nb0.95Mg0.05N0.92O0.08,16.533333
Nb3Sn0.65Ga0.35,16.5
Nb3Sn0.8Sb0.2,16.5
Si23.8V74.65,16.5
Li0.5Ti1N1Cl1,16.5
Nb2.919Hf0.081Al1,16.5
N0.92Nb1,16.5
V2.994La0.006Si1,16.48
La0.006Si1V2.994,16.48
Ga1V1,16.45
Nb3Sn0.49Ga0.51,16.4
Nb2.7Ti0.3Sn1,16.4
Nb3Si0.25Sn0.75,16.4
Nb3Sn0.5Ga0.5,16.4
V2.979Co0.021Si1,16.4
Y2C2.9B0.1,16.4
Si10.9V3C0.1,16.4
Nb0.75Al0.225Si0.025,16.4
Nb1C0.3N0.57,16.4
C0.28N0.76Nb1,16.4
Nb3Ga0.5Zn0.5,16.4
Nb2Sn1Ta1,16.4
Nb2Ta1Sn1,16.4
Nb0.5Sn0.25Ta0.25,16.4
Nb3Ga0.5Sn0.5,16.4
Y1.4Th0.6C2.7,16.4
Nb0.87Si0.09N0.87O0.13,16.35
Nb3Ga0.65Sn0.35,16.3
Ga0.3Nb0.7,16.3
Rb0.22Ti1N1Br1,16.3
Y1.4Th0.6C2.9,16.3
Y1.4Th0.6C2.8,16.3
K0.46Ti1N1Br1,16.3
Nb3Ga0.65Zn0.35,16.3
Na0.5Ti1N1Cl1,16.3
Rb0.5Ti1N1Cl1,16.3
Nb1C0.2N0.64,16.3
Ga20Nb80,16.266667
Mn0.03Si1V2.97,16.25
V2.97Mn0.03Si1,16.25
Si21.75V69.43,16.2
Nb3Sn0.5Al0.5,16.2
Nb3Sn0.1Sn0.9,16.2
Nb3Ga0.8Sn0.2,16.2
Nb3Ga0.8Zn0.2,16.2
Nb80Ga19.4Fe0.06,16.2
In0.2Si0.8V3,16.2
K0.5Ti1N1Cl1,16.15
Nb1C1N1,16.125
V3Si0.98Al0.02,16.12
Nb3Sn0.65Ge0.35,16.1
Nb3Sn0.1Al0.9,16.1
Nb3Ga0.9Sn0.1,16.1
Al0.1Si0.9V3,16.1
Si22.5V75,16.1
Nb0.75Ti0.25N0.94,16.1
Nb3Ga0.9Zn0.1,16.1
N12.8Nb1,16.1
In0.15Nb3Sb0.15Sn0.7,16.09
Nb3Sb0.15Sn0.7Tl0.15,16.04
V2.97Mo0.03Si1,16
Nb3Sn0.6Ga0.4,16
Nb2.1Ta0.9Sn1,16
Nb2.9175Ti0.0825Al1,16
Mg1B1.84F0.16,16
Nb2.895W0.105Al1,16
Nb76Sn2.4Al19.2Ge2.4,16
Nb3Al0.5Sn0.5,16
Nb3Al0.5Zn0.5,16
Nb3Al0.67In0.33,16
Nb3In0.2Sb0.2Sn0.6,16
Y1.2Th0.8C2.7,16
Li1Hf0.22Zr0.78N1Br1,16
Si23.27V75.15,15.94
V2.94La0.06Si1,15.92
La0.06Si1V2.94,15.92
Nb2.7V0.3Sn1,15.9
Nb3Sn0.2Sn0.8,15.89
Nb0.03Si1V2.97,15.8
Y1.2Th0.8C2.9,15.8
Si0.263V0.737,15.8
Nb3Sn0.7Sb0.3,15.8
V2.97Nb0.03Si1,15.8
Mo0.25Tc0.75,15.8
Nb3Sn0.6Sb0.4,15.8
Al0.5Nb3Sn0.5,15.8
Si10.9V3B0.1,15.8
Nb3Sn0.7Al0.3,15.775
Al0.2Si0.8V3,15.7
Nb2.55Ti0.45Sn1,15.6
Nb1C0.5N0.36,15.6
Nb2.706V0.294Al1,15.6
V3Si0.76Be0.24,15.6
Sc0.5Lu0.5Ni2B2C1,15.6
Pd0.7Ag0.3H0.8,15.6
Ga22Nb78,15.6
Y0.9Lu0.1Ni2B2C1,15.56
Mo1Ru1P1,15.5
Y1Th1C2.7,15.5
V2.79Mn0.21Si1,15.5
Mo1Ni1P1,15.5
Mn0.21Si1V2.79,15.5
Ba0.445K0.555Bi1O3,15.5
Y1Ni1.98Mn0.02B2C1,15.48
Al1Nb2.7V0.3,15.4
Nb3Sn0.6Al0.4,15.4
Nb0.75Al0.15Si0.1,15.4
Ga0.31V0.69,15.4
Y1.4Th0.6C2.4,15.4
Nb2.739Ta0.261Al1,15.4
Nb0.75Al0.2Si0.05,15.4
Nb3Ga0.95Ge0.05,15.35
V2.88Ce0.12Si1,15.32
Ce0.12Si1V2.88,15.32
Ga25V75,15.3
Ga0.2Nb0.8,15.3
Na0.23Ti1N1Br1,15.2
Li0.06Zr1N1Cl1,15.2
N0.8H2.4Na1Rb2C60,15.2
Nb0.92Ti0.08N0.93,15.2
K0.4Zr1N1Cl1,15.2
K0.22Zr1N1Cl1,15.2
Nb2.85W0.15Al1,15.2
Nb77.5Sn5.6Al11.3Ge5.6,15.2
Y0.92Lu0.08Ni2B2C1,15.2
Sc0.9Y0.1Ni2B2C1,15.1
Ga0.248V0.752,15.1
Nb0.5Ti0.5N0.95,15.1
Y0.8Th1.2C2.7,15.1
Ga24.8V75.2,15.1
K2.75Ba0.25C60,15
K0.46Zr1N1Cl1,15
Na0.59Zr1N1Cl1,15
Nb2.55V0.45Sn1,15
Li0.14Zr1N1Cl1,15
Na0.5Zr1N1Cl1,15
Li0.55Zr1N1Cl1,15
Nb2.88Ti0.12Al1,15
Li0.05Zr1N1Cl1,15
Na4H4C60,15
Zn0.04Zr1N1Cl1,15
B3Mo6S8Sn1,15
Li0.65Zr1N1Cl1,15
Mg0.16Zr1N1Cl1,15
Nb80Ga19Fe1,15
Nd0.8Sr0.2Ni1O2,15
Y0.75Lu0.25Ni2B2C1,14.9
Lu0.5Y0.5Ni2B2C1,14.9
Nb0.8Ga0.195Cr0.005,14.9
Ga25.3V74.7,14.9
Ga0.253V0.747,14.9
C3Y2,14.85625
Y0.84Lu0.16Ni2B2C1,14.8
Sc0.8Y0.2Ni2B2C1,14.8
Ba0.46K0.56Bi1O2.965,14.8
La0.5Lu0.5Ni2B2C1,14.8
Pb0.98Cu0.036Mo6S8,14.8
Y1.8W0.2C3.1,14.8
Nb2.927Zr0.073Al1,14.8
P0.3Si0.7V3,14.75
N0.88Nb0.256Ti0.744,14.72
Na3N1C60,14.7
Mo0.4Tc0.6,14.7
Ba0.6K0.4Bi0.8Pb0.2O3,14.7
C0.75Mo1,14.7
Y1.6Th0.4C2.7,14.7
Nb1N0.9O0.02,14.7
Na1N1C60,14.7
Na3.5N0.5C60,14.7
Y1Ni1.95Cu0.05B2C1,14.7
Y0.5Lu0.5Ni2B2C1,14.7
V3Ga0.975Bi0.025,14.7
Nb3Sn0.2Al0.8,14.6
Y0.6Th1.4C2.9,14.6
Nb2.91Zr0.09Al1,14.6
Nb3Sn0.81Al0.19,14.6
Nb3Sn0.4Ga0.6,14.6
Y0.6Th1.4C2.5,14.6
Nb0.7275Zr0.0225Al0.25,14.6
Ga0.236V0.764,14.6
Ga23.6V76.4,14.6
Mo6Pb0.92S7.5,14.6
Ba0.7K0.3Bi0.7Pb0.3O3,14.6
Si1Ti0.15V2.85,14.55
Pb1Mo5.1S4,14.51
Si0.206V0.794,14.5
Y1.8W0.2C2.9,14.5
Y1.8Ti0.2C3.1,14.5
Sc0.7Y0.3Ni2B2C1,14.5
Na0.66Zr1N1Cl1,14.5
Nb2.64Ta0.36Al1,14.5
C1.55W0.1Y0.9,14.5
Nb2.85Mo0.15Al1,14.45
Y0.95Tb0.05Ni2B2C1,14.42
Li1Zr1N1Cl1,14.4
Nb76.3Sn10.5Ge2.3Al10.9,14.4
Nb2.85Hf0.15Al1,14.4
N1.07Nb1,14.4
Mo5.1Pb1S6,14.4
Nb3Sn0.5Sb0.5,14.4
Li1Ti1.91Cu0.09O4,14.4
Fe0.98Mn0.02Se0.5Te0.5,14.4
Fe1Te0.4Se0.4,14.4
Ge0.1Si0.9V3,14.4
K0.6Zr1N1Cl1,14.4
Li1Zr1N1Cl0.75Br0.25,14.4
Ba0.6K0.4Bi0.955Pr0.045O3,14.4
Y0.6Th1.4C2.7,14.4
Si0.22V0.78,14.38
Fe1Te0.5Se0.5,14.38
Y1Ni1.98Co0.02B2C1,14.3
Li1Zr1N1Cl0.525Br0.475,14.3
Gd0.2Mo6Pb1S8,14.3
Fe1.03Se0.5Te0.5,14.3
Na0.75Zr1N1Cl1,14.3
Y1Ni1.985Cu0.015B2C1,14.3
Nb3Sn0.81Ge0.19,14.3
Pb0.7Eu0.3Gd0.2Mo6S8,14.3
Al0.5Mo5S6Sn1,14.2
Nb2.5Sn1V0.5,14.2
Nb0.625Sn0.25V0.125,14.2
Lu0.25Y0.75Ni2B2C1,14.2
V0.5Nb2.5Sn1,14.2
C0.75Hf0.05Mo0.95,14.2
Mo0.95Hf0.05C0.75,14.2
Li1Zr1N1I1,14.2
