formula,Tc
Gd1Fe1As1H0.3O0.7,45.9
Ce1Fe1As1H0.6O0.6,45.8
Sm1Fe0.99Ni0.01As1F0.12O0.88,45.7
Ce1Fe1As1H0.2O0.8,45.6
Ca0.891La0.109Fe2As2,45.4
Ca0.858Pr0.142Fe2As2,45.3
Y1Fe1As1O0.85,45.2
Sm1Fe1As1H0.43O0.57,45
Gd4Fe2As2Te0.92F0.8O3.2,45
Tb0.9Th0.1Fe1As1O1,45
Sm1Fe1As1F0.18O0.82,45
Pr1Fe1As1F0.11O0.89,45
Dy1Fe1As1F0.1O0.9,45
Ce1Fe1As1H0.3O0.7,44.9
Sm1Fe1As1F0.15O0.85,44.488889
Pr1Fe1As1O0.896,44.4
Tb1Fe1As1O0.85,44.4
Pr1Fe1As1O0.6,44
Ca0.857La0.143Fe2As2,44
Ce0.62Gd0.38Fe1As1F0.175O0.825,44
Li1Fe2Se2,44
Tb1Fe1As1O0.82,43.8
Pr1Fe1As1F0.1O0.9,43.5
Ce1Fe1As1F0.12O0.88,43.5
Sm1Fe1As1H0.066O0.934,43.3
Nd0.8Th0.2Fe1As1O1,43
Ca0.84Nd0.16Fe1As0.9Sb0.1,43
Ca0.76Pr0.24Fe1As0.9Sb0.1,43
Ca0.85La0.15Fe1As1.98Sb0.02,43
Ca0.76Ce0.24Fe1As1.8Sb0.2,43
Li1Fe3Se2O2,42.8
Ce1Fe1As1O0.85,42.6
Fe2As2Ca4Mg0.75Ti2.25O7.5,42.5
Yb0.8Fe2Se2,42
Li0.84H1Fe1.14Se1O1,42
Sm1Fe1As1F0.09O0.91,42
Ca0.923Nd0.077Fe2As2,41.8
Ca0.835La0.165Fe2As2,41.2
Ce1Fe1As1H0.065O0.935,41.1
Ca0.84La0.16Fe1As1.99P0.01,41
Sm1Fe0.95Ru0.05As1F0.15O0.85,41
Ce1Fe1As1F0.16O0.84,40.85
Ca0.8La0.2Fe1As1H1,40.6
Li0.8Fe1.2Se1H1O1,40.45
Ce1Fe1As1F0.2O0.8,40.4
Ce1Fe1As1O0.7,40.2
La0.5Y0.5Fe1As1F0.15O0.85,40.2
Ce1Fe1As1H0.4O0.6,40.2
Nd1Fe0.98Co0.02As1F0.11O0.89,40.1
Sm1Fe1As1O0.8,40.1
Ca8Mg1.5Ti4.5Fe2As2O9.5,40
La1Fe1As1F0.6O0.4,40
Ca0.8La0.2Fe2As2,40
Ca0.5Fe2Se2,40
Ca0.902Pr0.098Fe2As2,40
Sr2V1Fe1As1O2.9,40
Sm4Fe2As2Te0.72F1.2O2.8,40
Eu1Fe2Se2,40
La0.5Y0.5Fe1As1O0.6,39.3
Ba0.63K0.37Fe2As2,39
Ba0.8Fe2Se2,39
Ca0.82La0.18Fe1As1.99P0.01,39
Ba0.64K0.34Fe2As2,39
Fe2As2Ca5Mg0.8Ti3.2O9.8,39
La0.6Y0.4Fe1As1O0.6,38.8
Nd1Fe0.9Ru0.1As1F0.11O0.89,38.7
Li0.8Fe1.2Se0.84S0.16H1O1,38.6
Sr0.8Fe2Se2,38
Ba0.5K0.5Fe2As2,38
La1Fe1As1H0.3O0.7,38
Ca10Fe8.2Pt4.8As18,38
Ba0.663K0.337Fe2As2,38
Ba0.65K0.35Fe2As2,38
Nd1Fe0.99Mn0.01As1F0.11O0.89,38
La0.62Dy0.38Fe1As1F0.175O0.825,38
La0.3Y0.7Fe1As1F0.15O0.85,38
Ca10Pt4Fe10As18,38
Ca0.8La0.2Fe0.978Co0.022As2,37.8
Ba0.68K0.32Fe2As2,37.75
Sr0.5K0.5Fe2As2,37.7
Na0.65Fe1.93Se2,37.5
Sm1Fe0.99Mn0.01As1F0.12O0.88,37.2
Ba0.5K0.5Fe1.9Ru0.1As2,37.14
Ba0.677K0.323Fe2As2,37
Ba0.59K0.41Fe2As2,36.9
Ba0.7Rb0.3Fe2As2,36.9
Ba0.7K0.3Fe2As2,36.85
Sr1Cs1Fe4As4,36.8
Sr2Mg0.3Ti0.7Fe1As1O3,36.7
Cs0.4Sr0.6Fe2As2,36.6
Ba0.5K0.5Fe1.8Ru0.2As2,36.5
Ca0.8La0.2Fe0.9671Co0.0329As2,36.5
K0.4Sr0.6Fe2As2,36.5
Rb1Eu1Fe4As4,36.5
Sm1Fe1As1F0.06O0.94,36.4
Sm1Fe1As0.9P0.1F0.12O0.88,36.35
Ce1Fe1As1F0.1O0.9,36.333333
La1Fe1As1H0.46O0.54,36.2
La0.7Y0.3Fe1As1F0.15O0.85,36.2
Ca0.78Ce0.22Fe2As2,36.2
Eu1Rb1Fe4As4,36
Fe2As2Ca5Mg1Ti3O9.5,36
La1Fe1As1H0.36O0.64,36
Na0.65Fe1.93Se1.8S0.2,36
Ba0.5K0.5Fe2As2O1,36
Sm1Fe1As0.77P0.23H0.2O0.8,36
Ho1Fe1As1F0.1O0.9,36
Fe2As2Ca6Al1.32Ti2.68O12,36
Fe2As2Ca4Sc2Ti3O13,36
Sr0.42K0.58Fe2As2,36
Fe2As2Ca5Sc2Ti2O10,36
Ba0.65Rb0.35Fe2As2,35.8
Ca0.7La0.3Fe1As1H1,35.7
Ba0.6K0.4Fe2As2,35.66
La0.7Y0.3Fe1As1O0.6,35.6
Li0.8Fe1.2Se0.78S0.22H1O1,35.6
Ba1Fe2As3,35.4
Pr1Fe1As0.9P0.1F0.1O0.9,35.2
Ca8.85La1.15Pt3Fe10As18,35.1
Sr1Rb1Fe4As4,35.1
Ca0.8La0.2Fe0.9558Co0.0442As2,35.1
La1Fe1As1H0.85,35
Eu1Cs1Fe4As4,35
Ba0.68K0.32Fe1.954Co0.046As2,35
Ca1Rb1Fe4As4,35
La1Fe1As1H0.6O0.6,35
Nd1Fe1As1F0.08O0.92,35
Li0.8Fe1.2Se0.72S0.28H1O1,35
La0.7Y0.3Fe1As1F0.1O0.9,34.8
Tb1Fe1As1O0.75,34.8
Sm1Fe0.97Ni0.03As1F0.12O0.88,34.5
Ca8.6La1.4Pt3Fe10As18,34.5
Ba0.5K0.5Fe1.92Zn0.08As2,34.3
Ba0.5K0.5Fe1.84Zn0.16As2,34.2
Nd1Fe1As0.8P0.2F0.1O0.9,34.1
Ca0.34Na0.66Fe2As2,34
Ca0.84La0.16Fe1As2,34
Li0.8Fe1.2H1Se1,34
Ca0.9La0.1Fe1As2,34
La0.8Y0.2Fe1As1O0.7,34
Ba0.6Rb0.4Fe2As2,34
Nd1Fe0.85Ru0.15As1F0.11O0.89,34
Ca10Pt4.3Fe9.7As18,33.9
Tb1Fe1As1O0.8,33.85
Ba0.6Na0.4Fe2As2,33.85
Ca10Pt5.8Fe8.2As18,33.65
La1Fe1As1F0.28O0.68,33.5
Ba0.5K0.5Fe1.88Zn0.12As2,33.5
Ba0.72K0.28Fe2As2,33.45
Ca0.25Na0.75Fe2As2,33.4
Ca0.88Ce0.12Fe2As2,33.2
Ca1K1Fe4As4,33.1
Ca0.33Na0.66Fe2As2,33
Ca0.32Na0.68Fe2As2,33
Sm1Fe1As1F0.07O0.93,33
Sm1Fe1As1F0.075O0.925,33
Fe2As2Ca5Sc2Ti2O10.5,33
Ba0.5Na0.5Fe2As2,32.8
Ca8.87La1.13Pt3Fe10As18,32.8
K0.85Fe2Se1.8,32.6
Rb0.77Fe1.61Se2,32.6
Nd1Fe1As1F0.2O0.8,32.6
Eu0.51K0.49Fe2As2,32.5
Ca0.86Pr0.14Fe2As2,32.5
Ba0.55K0.45Fe1.95Co0.05As2,32.5
La0.8Y0.2Fe1As1O0.6,32.5
La1Fe1As1H0.7,32.5
K0.83Fe1.83Se2,32.5
Tl0.58Rb0.42Fe1.72Se2,32.5
Rb0.801Fe1.602Se2,32.4
Rb0.74Fe1.6Se2,32.4
Rb0.796Fe1.596Se2,32.4
Rb0.8Fe1.6Se2,32.4
K0.8Fe1.5Se2,32.4
Ca8.44La1.56Pt3Fe10As18,32.3
Ca10Pt4.1Fe9.9As18,32.2
Eu0.5K0.5Fe2As2,32.166667
Li0.8Fe1.2Se0.59S0.41H1O1,32
Ba0.74K0.26Fe2As2,32
Tl0.6Rb0.4Fe1.67Se2,32
Tl0.47Rb0.34Fe1.63Se2,32
Eu0.7Na0.3Fe2As2,32
Na0.65Fe1.93Se1.6S0.4,32
K0.82Fe1.63Se2,32
K0.8Fe1.78Se2,32
Rb0.8Fe1.68Se2,32
Rb2Fe4Se5,32
La0.8Y0.2Fe1As1F0.1O0.9,32
K0.8Fe1.933Mn0.067Se2,32
K0.68Fe1.79Se2,32
La1Fe1As1H0.58O0.58,32
Tl0.4Rb0.4Fe1.6Se2,32
K0.65Fe1.41Se2,32
Rb0.75Fe1.6Se2,32
Fe2As2Ca6Al1Ti3O11,32
K0.74Fe1.67Se1.61S0.4,32
K0.86Fe1.66Se2,32
K0.8Fe1.951Mn0.049Se2,31.9
K0.58Fe1.56Se2,31.9
Rb0.8Fe1.7Se2,31.875
Tl0.4Rb0.4Fe1.67Se2,31.8
Ca8.48Pr1.52Pt3Fe10As18,31.8
Ca0.719La0.281Fe2As2,31.7
Ca1Cs1Fe4As4,31.6
K0.8Fe1.7Se2,31.5
Sr4V2Fe2As2O6,31.5
Rb0.8Fe2Se2,31.4
La0.5Y0.5Fe1As1F0.1O0.9,31.4
K0.73Fe1.44Se1.68S0.32,31.4
K0.8Fe2Se2,31.364286
Tl0.4Rb0.4Fe2Se2,31.35
Tl0.4Rb0.4Fe1.7Se2,31.35
Sm1Fe0.965Mn0.035As1F0.11O0.89,31.3
Ce1Fe1As1H0.07O0.93,31.3
Rb0.88Fe1.81Se2,31.3
Sm1Fe0.97Mn0.03As1F0.12O0.88,31.3
Ba0.65Na0.35Fe2As2,31.25
Ba0.4K0.6Fe2As2,31.2
K0.8Fe1.76Se2,31.15
K0.74Fe1.66Se2,31
K0.8Fe1.99Mn0.01Se2,31
Fe2As2Ca4Sc2.01Ti0.99O7.5,31
Ba0.64Na0.36Fe2As2,31
K0.75Fe1.68Se2,31
K0.8Fe1.979Mn0.021Se2,31
K0.64Fe1.44Se2,31
Rb0.653Fe1.532Se2,30.9
Ca8.38Ce1.62Pt3Fe10As18,30.5
La1Fe1As1H0.55,30.5
Ca8.32Ce1.68Pt3Fe10As18,30.4
K0.79Fe1.64Se2,30.4
Tl0.54K0.46Fe1.88Se2,30.4
Ba0.5K0.5Fe1.9Co0.1As2,30.31
Tl0.59Cs0.26Fe1.9Se2,30.3
La0.8Y0.2Fe1As1F0.11O0.89,30.3
Ba1Fe2As1.3P0.7,30.25
Ca3Al2Fe2As2O5,30.2
Ba0.55K0.45Fe2As2,30.1625
Ba0.5K0.5Fe1.9Zn0.1As2,30.15
Ba1Fe2As1.52P0.48,30.1
La1Fe1As1H0.24O0.76,30.1
La1Fe1As0.95Sb0.05F0.2O0.8,30.1
Nd1Fe0.95Co0.05As1F0.11O0.89,30.1
K0.86Fe2Se1.82,30.05
Ca0.81La0.19Fe1As2,30.033333
Sr2V0.9Mg0.1Fe1As1O3,30
Ca10Pt4.2Fe9.8As18,30
Eu0.48K0.52Fe2As2,30
Tl0.75K0.25Fe1.84Se2,29.8
Rb0.76Fe1.62Se2,29.5
K0.8Fe2Se1.96,29.5
Nd1Fe1As0.7P0.3F0.1O0.9,29.5
Ca8La2Pt3.3Fe9.7As18,29.4
Cs0.8Fe1.7Se2,29.2
Cs0.8Fe2Se2,29.2
Pr1Fe1As0.8P0.2F0.1O0.9,29.2
Ba1Fe2As1.36P0.64,29.1
Eu1Fe2As1.58P0.42,29
La1Fe1As1H0.35,29
Fe2As2Sr4Mg0.6Ti1.4O6,29
Eu1Fe2As1.6P0.4,29
Sr1Fe2As1.4P0.6,28.933333
La0.8Y0.2Fe0.997Mn0.003As1F0.11O0.89,28.9
Ca0.941Pr0.059Fe2As2,28.9
Eu0.56K0.44Fe2As2,28.7
La1Fe1As1H0.08O0.92,28.7
Ba0.4Na0.6Fe2As2,28.7
La1Fe1As0.9Sb0.1F0.2O0.8,28.6
Ba1Fe2As1.34P0.66,28.575
Cs0.8Fe2Se1.96,28.5
Sr1Fe2As1.3P0.7,28.475
Ba0.75K0.25Fe2As2,28.45
Ca8.77Nd1.23Pt3Fe10As18,28.4
La1Fe1As1O0.7,28.4
Tl0.63K0.37Fe1.78Se2,28.4
Ca4Al2Fe2As2O6,28.2
Ca0.9La0.1Fe1As1H1,28.2
Cs0.86Fe1.66Se2,28.166667
Ca8.41Nd1.59Pt3Fe10As18,28.1
Ca8.45Sm1.55Pt3Fe10As18,28
Ca0.77La0.23Fe1As1.99P0.01,28
Fe2As2Sr4Sc1.8Ti1.2O8,28
Tl0.45K0.34Fe1.84Se2,28
Nd1Fe1As0.6P0.4F0.1O0.9,28
Eu1Fe1As1.64P0.36,28
Sm1Fe1As0.77P0.23H0.11O0.89,28
Fe2As2Sr4Mg0.4Ti1.6O6,28
Rb0.75Fe1.6Se1.5S0.5,28
La0.85Na0.15Fe1As1F0.15O0.85,28
La0.77Y0.23Fe0.995Mn0.005As1F0.11O0.89,27.9
Ca9La1Pt3Fe10As18,27.9
La1Fe1As1O0.89,27.8
Ce1Fe1As1F0.08O0.92,27.6
Eu0.64K0.36Fe2As2,27.6
La1Fe1As1H0.15,27.5
La1Fe0.985Ru0.015As1F0.11O0.89,27.5
Ba1Fe1.8Ir0.2As2,27.4
La1Fe0.98Ru0.02As1F0.11O0.89,27.4
Sr1Fe2As1.22P0.78,27.35
Tl0.4K0.3Fe1.7Se2,27.125
Nd1Fe0.98Mn0.02As1F0.11O0.89,27.1
Sr0.6La0.4Fe1As1F1,27.05
Ca4Al2Fe2As2O5.785,27
Fe2As2Sr4V2O6,27
Ba1Fe1.7Ir0.3As2,27
Sr1Fe2As1.2P0.8,27
La1Fe1As0.6P0.4F0.1O0.9,27
La1Fe1P0.6As0.6F0.1O0.9,26.9
Sm1Fe1As1F0.14O0.86,26.9
Ca8.77Pr1.23Pt3Fe10As18,26.9
Ca4Al2Fe2As2O5.65,26.8
Ba0.5K0.5Fe1.9Ni0.1As2,26.75
Ca0.79La0.21Fe1As2,26.5
Ca10Pt4.054Fe9.7As18,26.5
La1Fe1As1F0.11O0.89,26.346667
Rb0.8Fe2Se1.9Te0.1,26.25
Tl0.4K0.3Fe2Se2,26.25
Sr2Mg0.5Ti0.5Fe0.95Co0.05As1O3,26.2
Ca9.29Sm0.71Pt3Fe10As18,26.2
La0.8Y0.2Fe0.995Mn0.005As1F0.11O0.89,26.15
Ca8.55La1.45Pt3Fe10As18,26.1
La1Fe1As0.8P0.2F0.1O0.9,26
La1F0.05Fe1As1O0.95,26
Ba1Cs1Fe4As4,26
Ca7.62La2.38Pt3Fe10As18,26
Na0.86Fe1As1,26
Fe2As2Sr4Mg0.8Ti1.2O6,26
Ba0.76K0.24Fe2As2,26
Ca0.82Pr0.18Fe1As1.98Sb0.02,26
La1Fe1As1F0.08O0.9,25.9
Ba0.5K0.5Fe1.96Mn0.04As2,25.85
Sr1.9Ca0.1V1Fe1As1O3,25.8
Ba1Fe1.82Ru0.18As2,25.8
La1Fe1As1O0.85,25.766667
La1Fe1As0.8P0.2F0.05O0.95,25.61
Ba0.64K0.36Fe2As2,25.6
La0.9Y0.1Fe1As1O0.6,25.6
La1Fe0.97Ru0.03As1F0.11O0.89,25.6
La1Fe0.8Zn0.2As1F0.15O0.85,25.5
La1Fe0.98Zn0.02As1F0.1O0.9,25.5
Rb0.8Fe2Se1.7Te0.3,25.5
La0.89Sr0.11Fe1As1O1,25.5
La1Fe0.95Zn0.05As1F0.1O0.9,25.4
La0.85Sr0.15Fe1As1O1,25.4
La1Fe1As1F0.13O0.87,25.4
Ba1Fe2As1.18P0.82,25.3
La1Fe1P0.6As0.8F0.1O0.9,25.3
La0.8Y0.2Fe0.99Mn0.01As1F0.11O0.89,25.3
La1Fe1As1F0.07O0.93,25.2
Na0.65Fe1.93Se1.4S0.6,25.1
La1Fe1As1F0.1O0.9,25.061538
Rb0.8Fe2Se1.8Te0.2,25.05
Pr4Fe2As2Te0.88O4,25.05
Gd4Fe2As2Te0.9O4,25
Ba1Fe1.87Co0.13As2,25
Ca8.03Pr1.97Pt3Fe10As18,25
Ca9.06Gd0.94Pt3Fe10As18,25
Sm4Fe2As2Te0.92O4,25
Ca0.4Na0.6Fe2As2,25
La0.8Sr0.2Fe1As1O1,24.9
Ba1Fe1.886Rh0.114As2,24.9
Sm1Fe1As1F0.13O0.87,24.7
La0.9Sr0.1Fe1As1O1,24.6
K0.8Fe1.7S1Se1,24.5
Ba1Fe1.6Ir0.4As2,24.5
La1Fe0.9875Co0.0125As1F0.11O0.89,24.5
Ba0.39K0.61Fe2As2,24.5
Ba1Fe2As1.46P0.54,24.5
La1Fe1As1O0.6,24.4
Sr0.8La0.2Fe1As1F1,24.4
Ba1Fe1.885Co0.115As2,24.3
Ba0.3Na0.7Fe2As2,24.2
Sr1Fe1.57Ir0.43As2,24.2
La1Fe1As0.4P0.6F0.05O0.95,24.12
La0.9Y0.1Fe0.995Mn0.005As1F0.11O0.89,24.1
Ba1Fe1.9Pt0.1As2,24.1
Fe1.8Co0.2As2Sr4Mg1Ti1O6,24
Ba0.737K0.263Fe2As2,24
Rb0.75Fe1.6Se1.75S0.25,24
Ba1Fe1.878Co0.122As2,24
Ca0.81Nd0.19Fe1As1.98Sb0.02,24
Eu0.5Ca0.5Fe2As2,24
La1Fe1As1H0.4O0.6,23.9
Ba0.68Na0.32Fe2As2,23.8
La1Fe0.99975Mn0.00025As1F0.11O0.89,23.8
Ba0.7Na0.3Fe2As2,23.8
Ca9.16Tb0.84Pt3Fe10As18,23.7
La1Fe0.9Ru0.1As1F0.11O0.89,23.65
La1Fe1As0.9P0.1F0.05O0.95,23.6
La1Fe0.85Ru0.15As1F0.11O0.89,23.6
Ba1Fe1.85Co0.15As2,23.525
Nb0.7Fe1.55Se1.01S0.99,23.5
Ba0.78K0.22Fe2As2,23.5
Ce1Fe0.95Co0.05As1F0.1O0.9,23.5
Fe2As2Sr4Mg0.9Ti1.1O6,23.5
Eu1Fe1.6As2P0.4,23.5
Ba1Fe1.874Co0.126As2,23.45
Ba1Fe1.85Pt0.15As2,23.4
Pr1Fe1As0.6P0.4F0.1O0.9,23.4
La1Fe1As1F0.05O0.95,23.304
Ba0.9Rb0.1Fe2As2,23.3
Sm1Fe0.95Zn0.05As1F0.2O0.8,23.3
Ba1Fe1.89Co0.11As2,23.25
Ca1Fe0.88Co0.12As1H1,23.2
La0.8Na0.2Fe1As1F0.2O0.8,23.02
Ce1Fe0.88Co0.12As1H1,23
Ce1Fe0.91Co0.09As1H1,23
Ce1Fe0.93Co0.07As1H1,23
Eu1Fe2As1.7P0.3,23
Ca1Fe0.93Co0.07As1H1,23
Eu0.5K0.5Fe1.94Ni0.06As2,23
Ba1Fe1.884Co0.116As2,22.933333
Ca1Fe0.9Co0.1As1F1,22.933333
Ba1Fe1.84Co0.16As2,22.9
Tb1Fe1As1O0.9,22.8
La1Fe0.9997Mn0.00025As1F0.11O0.89,22.8
Ba1Fe1.852Co0.148As2,22.78
Ba0.86La0.14Fe2As2,22.7
La0.8Y0.2Fe0.992Mn0.008As1F0.11O0.89,22.7
Ca1Fe0.91Co0.09As1H1,22.7
Ba0.84Rb0.1Sn0.09Fe2As2,22.6
Ca9.26Ce0.74Pt3Fe10As18,22.6
Nd1Fe1As0.4P0.6F0.1O0.9,22.6
Ca10Pt4.6Fe9.4As18,22.5
Ba1Fe1.125Ru0.875As2,22.5
Tl1Fe1.7Se2,22.4
Ba0.88La0.12Fe2As2,22.4
Ba1Fe2As1.28P0.72,22.4
Ba1Fe1.86Co0.14As2,22.4
La1Fe1As0.75P0.25F0.05O0.95,22.38
Ba0.5K0.5Fe1.9Cu0.1As2,22.29
Ca1Fe0.92Rh0.08As1F1,22.2
Rb0.8Fe2Se1.75Te0.25,22.2
Ba1Fe1.848Rh0.152As2,22.2
Ca9.07La0.93Pt3Fe10As18,22.2
Nd1Fe0.8Ru0.2As1F0.11O0.89,22.1
Ca8.18La1.82Pt3Fe10As18,22.1
La0.87Sr0.13Fe1As1O1,22.066667
Ba1Fe1.75Co0.25As2,22
Eu1Fe2As1.68P0.32,22
Gd1Fe1As1F0.17O0.83,22
Pr0.6Sr0.4Fe1As0.9Sb0.1O1,22
Pr0.65Sr0.35Fe1As0.8Sb0.2O1,22
Ba0.511K0.489Fe1.772Co0.228As2,22
Rb0.75Fe1.6Se1S1,22
Fe2As2Sr4Sc1.5Ti1.5O8,22
Fe1.9Co0.1As2Sr4Mg1Ti1O6,22
K0.8Fe1.996Co0.004Se2,22
Ca0.67Sr0.33Fe2As2,22
Pr0.65Sr0.35Fe1As0.85Sb0.15O1,21.9
Ca0.78La0.22Fe1As2,21.9
Sr1Fe1.75Rh0.25As2,21.9
Pr0.65Sr0.35Fe1As0.9Sb0.1O1,21.87
Ce1Fe1As0.85P0.15F0.05O0.95,21.75
Sm1Fe0.9Ru0.1As1F0.15O0.85,21.7
Ba1Fe1.844Co0.156As2,21.7
Sr0.67K0.33Fe2As2,21.7
Eu1Fe1.72Ir0.28As2,21.666667
La1Fe1As1F0.075O0.925,21.6
Eu1Fe1.5Ru0.5As2,21.5
K0.7Fe1.55Se1.01S0.99,21.4
Nd1Fe0.7Ru0.3As1F0.11O0.89,21.3
Ba1Fe0.875Ru1.125As2,21.3
La1Fe1As0.4P0.6F0.1O0.9,21.27
Ca1Fe1.922Co0.078As2,21.2
Na1Fe0.97Co0.03As1,21.133333
Ba1Fe1.75Pt0.25As2,21.1
Ba1Fe1.824Co0.176As2,21.05
Na1Fe0.975Co0.025As1,21.05
Ca0.84Ce0.16Fe1As1.98Sb0.02,21
Ca0.6Na0.4Fe2As2,21
Ba1Fe1.25Ru0.75As2,21
Eu1Fe1.78Co0.22As2,21
Eu1Fe1.78Ir0.22As2,21
La1Fe1As1H0.44O0.56,21
Ca0.85Pr0.15Fe1As2,21
Ba1Fe1.889Co0.102Cu0.009As2,20.95
Ca9.35Dy0.65Pt3Fe10As18,20.9
La1Fe1P0.6As0.4F0.1O0.9,20.86
Ba1Fe2As1.06P0.94,20.8
Ca1Fe0.85Co0.15As1F1,20.8
Ba1Fe1.82Co0.18As2,20.7
Ce1Fe1As0.8P0.2F0.05O0.95,20.6
Ca6.85Pr3.15Pt3Fe10As18,20.5
Sr0.6La0.4Fe2As2,20.5
Ba1Fe1.892Co0.108As2,20.5
Ca1Fe1.92Co0.08As2,20.4
La1Fe1As1H0.42O0.58,20.3
Ba1Fe1.9Ni0.1As2,20.15
Ba2Ti2Fe2As4O1,20.125
Na1Fe0.972Co0.028As1,20.1
Ba1Fe1.904Ni0.096As2,20.05
Ba1Fe1.48Ru0.52As2,20.05
Ba1Fe1.8Co0.2As2,20.05
Ca0.9Pr0.1Fe1.3As1.8O0.2,20
K0.8Fe1.996Cr0.004Se2,20
K0.5Na0.24Fe1.52Se2,20
Li1.1Fe1As1,20
Ba1Fe1.87Zn0.02Co0.11As2,20
Ca0.9Pr0.1Fe1As2,20
Ba1Fe1.83Zn0.04Co0.13As2,20
Sr2V1Fe1As1O2.5,20
Ba0.9Yb0.1Fe2As2,20
Ba0.5K0.5Fe1.8Co0.2As2,19.95
La1Fe0.9Zn0.1As1F0.1O0.9,19.9
La1Fe0.85Zn0.15As1F0.1O0.9,19.9
Ca0.5Na0.5Fe2As2,19.8
Sr1Fe1.4Ru0.6As2,19.8
Ca9.35La0.65Pt3Fe10As18,19.7
La1Fe0.8Ru0.2As1F0.11O0.89,19.7
Ba1Fe1.3Ru0.7As2,19.7
Ba0.3K0.7Fe2As2,19.7
Ba1Fe1.83Co0.17As2,19.6
La1Fe0.982Zn0.018As1F0.28O0.68,19.6
Ca9.39Pr0.61Pt3Fe10As18,19.5
Ca0.85Gd0.15Fe1As2,19.5
Ba1Fe1.9Co0.1As2,19.5
Ca9.68Ho0.32Pt3Fe10As18,19.5
Ce1Fe0.83Co0.17As1H1,19.5
La1Fe1As1H0.41O0.59,19.5
Na1Fe0.979Co0.021As1,19.4
Na1Fe0.981Co0.019As1,19.3
Ca0.906Nd0.094Fe2As2,19.3
Ce1Fe1As0.9P0.1F0.05O0.95,19.3
Ca1Fe1.898Co0.102As2,19.2
Ba0.2Na0.8Fe2As2,19.2
La1Fe1As0.6P0.4F0.05O0.95,19.04
Ba1Fe1.79Zn0.08Co0.13As2,19
Ba0.788K0.212Fe2As2,19
Ba1Fe1.81Zn0.06Co0.13As2,19
Ba0.66K0.34Fe1.8Co0.2As2,19
Sm1Fe1As0.55P0.45H0.08O0.92,19
Ca1Fe0.83Co0.17As1H1,19
Ca7.65Nd2.35Pt3Fe10As18,18.9
La0.92Sr0.08Fe1As1O1,18.9
Ba1Fe1.914Pd0.086As2,18.9
Ca7.16Ce2.84Pt3Fe10As18,18.9
Na1Fe0.98Co0.02As1,18.8
Sm1Fe0.94Ni0.06As1F0.12O0.88,18.8
La0.95Y0.05Fe0.995Mn0.005As1F0.11O0.89,18.6
Ca9.58Y0.42Pt3Fe10As18,18.6
Ba1Fe1.908Ni0.092As2,18.6
Ba1Fe1.898Co0.102As2,18.6
Ba1Fe1.88Ni0.12As2,18.6
Ba1Fe1.85Zn0.04Co0.11As2,18.5
La0.81Sm0.06Sr0.13Fe1As1O1,18.5
